l_russian:
 dhe_pharos_tooltip:0 "Начинается строительство маяка."
 dhe_isis_cult.3.c:0 "Пора убрать этих назойливых служителей египетской богини."
 dhe_isis_cult.4.t:0 "Бойня в городе [SCOPE.sP('randomized_country_province').GetName]"
 dhe_isis_cult.4.desc:0 "За последние месяцы у местных жителей в городе [SCOPE.sP('randomized_country_province').GetName] провинции [SCOPE.sP('randomized_country_province').GetState.GetShortName] было немало стычек с последователями культа Изиды. Недавно эти стычки достигли апогея — некий культист убил местного земледельца.\n\nНаши солдаты не успели успокоить население, и все ближайшие культисты были тут же убиты, а сам культ изведен под корень."
 dhe_isis_cult.4.a:0 "Что это за безумие?"
 dhe_isis_cult.5.t:0 "Египетские семьи"
 dhe_isis_cult.5.desc:0 "Несколько семей перебрались из города [SCOPE.sP('randomized_egyptian_province').GetName] провинции [SCOPE.sP('randomized_egyptian_province').GetOwner.GetName] в город [SCOPE.sP('randomized_country_province').GetName] провинции [SCOPE.sP('randomized_country_province').GetState.GetShortName]. Говорят, будто сама Изида направила их, чтобы они разыскали ее местный культ и приняли участие в его ритуалах и церемониях. Сами местные культисты предложили нам компенсацию за то, что мы примем египетские семьи и обеспечим их жилищем."
 dhe_isis_cult.5.a:0 "Вроде бы, это справедливое предложение."
 dhe_isis_cult.6.t:0 "Святилище Изиды"
 dhe_isis_cult.6.desc:0 "Местный культ Изиды в городе [SCOPE.sP('randomized_country_province').GetName] (это провинция [SCOPE.sP('randomized_country_province').GetState.GetShortName]) предложил нам немного золота за то, что мы поможем возвести в городе святилища их богини. Со временем культ становится всё популярнее в нашем городе, и культисты хотят отметить это появлением нового святилища.\n\nЕсли поддержать культ, он, без сомнения, станет ещё привлекательнее для нашего народа и ослабит нашу религиозную власть в городе [SCOPE.sP('randomized_country_province').GetName]. Если же отклонить просьбы культистов, возможно, часть народа вернётся в нашу веру."
 dhe_isis_cult.6.a:0 "Святилище будет построено."
 dhe_isis_cult.6.b:0 "В городе [SCOPE.sP('randomized_country_province').GetName] нет места египетской богине."
 isis_cult_medium_freemen_citizen.tt:0 "До #Y 25%#! #Y свободных людей#! и #Y граждан#! провинции #Y [THIS.GetProvince.GetName]#! обратятся в #Y кеметизм#!."
 isis_cult_minor_freemen_citizen.tt:0 "До #Y 10%#! #Y свободных людей#! и #Y граждан#! провинции #Y [THIS.GetProvince.GetName]#! обратятся в #Y кеметизм#!."
 isis_cult_non_kemetic_minor_crisis.tt:0 "До #Y 20%#! #Y некеметического#! населения провинции #Y [THIS.GetProvince.GetName]#! будет убито в ходе конфликта."
 isis_cult_kemetic_minor_crisis.tt:0 "До #Y 50%#! #Y кеметического#! населения провинции #Y [THIS.GetProvince.GetName]#! будет убито в ходе конфликта."
 isis_cult_major_crisis.tt:0 "Всё #Y кеметическое#! население в провинции #Y [THIS.GetProvince.GetName]#! убито."
 dhe_roman_warm_period.1.t:0 "Потепление"
 dhe_roman_warm_period.1.desc:0 "Весь наш народ, от крестьян до аристократов, подмечает, что в последние годы погода стала теплее, а урожай — обильнее. Сначала это казалось счастливой случайностью, но чем больше мы задумываемся над этим фактом, тем больше убеждаемся, что нам покровительствует некое божество.\n\nКак бы то ни было, такие перемены пришлись всем по нраву."
 dhe_roman_warm_period.1.a:0 "Будем надеяться, что нас ждут и другие хорошие новости!"
 dhe_buddhism.1.t:0 "Учитель буддизма"
 dhe_buddhism.1.desc:0 "В нашем городе [SCOPE.sP('randomized_country_province').GetName] провинции [SCOPE.sP('randomized_country_province').GetState.GetShortName] и в его окрестностях побывал знаменитый учитель буддизма. Мы видели, как немало людей перешло в его веру и теперь поклоняются Гаутаме Будде.\n\nСперва это казалось нам тревожным, но, похоже, что буддисты — мирный народ, они готовы помогать даже тем, кто не исповедует их учение. Может, этот Будда не так уж и неправ?"
 dhe_buddhism.1.a:0 "Пусть следуют его учению, главное — чтобы вели себя мирно."
 dhe_buddhism.1.b:0 "И всё же мы не видим смысла позволять им исповедовать учение этого чужеземца."
 dhe_buddhism.2.t:0 "Великие буддистские монахи"
 dhe_buddhism.2.desc:0 "Несколько монахов-буддистов сыграли особенно важную роль в знакомстве нашего народа с учением Будды. В определённых городах, таких как [SCOPE.sP('buddhist_province_1').GetName], вокруг монахов образовалось сообщество, ставшее заметной политической силой. Сами монахи не обращались к нам за помощью, однако это наш шанс показать искренность нашей веры и начать обращать в неё свой народ."
 dhe_buddhism.2.a:0 "Мы сделаем всё, чтобы они преуспели."
 dhe_buddhism.2.b:0 "Они отлично справляются и без нашей помощи."
 dhe_buddhism.3.t:0 "Совет буддистов"
 dhe_buddhism.3.desc:0 "Несколько лет назад монахи заручились нашей помощью, и несколько групп населения обратились в буддизм. Однако теперь буддистские старейшины созвали совет, чтобы искоренить притворщиков в своих рядах: похоже, наше стремление помочь им сыграло против нас, и многие лишь притворялись буддистами, чтобы воспользоваться теми же благами и богатствами, что и искренние почитатели этой веры.\n\nТеперь старейшины ждут, что мы поможем им исправить положение: мы отчасти виноваты в происходящем."
 dhe_buddhism.3.a:0 "Мы искореним предателей."
 dhe_buddhism.3.a.tt:0 "Мы поможем старейшинам в буддистском совете."
 dhe_buddhism.3.b:0 "Они же хотели, чтобы буддистов стало больше, разве не так?!"
 dhe_buddhism.3.b.tt:0 "Мы воздержимся от участия в буддистском совете."
 dhe_buddhism.4.t:0 "Буддистские посланники"
 dhe_buddhism.4.desc:0 "Буддистский совет закончился, разногласия и проблемы разрешились, и теперь у нас есть большая группа верных нам буддистских монахов. Можно занять их обучением и наставлением наших подданных — или отправить их в далёкие земли рассказывать о нашей вере другим народам."
 dhe_buddhism.4.a:0 "Отправить их в другие земли."
 dhe_buddhism.4.a.tt:0 "В державу #Y [THIS.GetCountry.GetName]#! будет отправлен посланник."
 dhe_buddhism.4.b:0 "Пусть наставляют наш народ."
 dhe_buddhism.5.t:0 "[SCOPE.sCountry('original_country').GetAdjective]ий монах"
 dhe_buddhism.5.desc:0 "К нам прибыл посланник из державы [SCOPE.sCountry('original_country').GetName], монах по имени [SCOPE.sCharacter('buddhist_monk').GetName]. Это буддистский учёный, что был отправлен рассказывать нашему народу о [SCOPE.sCountry('original_country').GetAdjective]ой культуре и вере. Кроме того, он должен улучшить отношения между двумя нашими народами."
 dhe_buddhism.5.a:0 "Пусть себе проповедует."
 dhe_buddhism.5.b:0 "Отправить их обратно в державу [SCOPE.sCountry('original_country').GetName]."
 buddhism_huge.tt:0 "До #Y 50%#! населения города #Y [THIS.GetProvince.GetName]#! обратится в #Y буддизм#!."
 buddhism_major.tt:0 "До #Y 33%#! населения города #Y [THIS.GetProvince.GetName]#! обратится в #Y буддизм#!."
 buddhism_medium.tt:0 "До #Y 20%#! населения города #Y [THIS.GetProvince.GetName]#! обратится в #Y буддизм#!."
 buddhism_minor.tt:0 "До #Y 10%#! населения города #Y [THIS.GetProvince.GetName]#! обратится в #Y буддизм#!."
 dhe_jainism.1.t:0 "Джайнистский аскет"
 dhe_jainism.1.desc:0 "Известный джайнистский аскет прошёл через наш город [SCOPE.sP('randomized_country_province').GetName], также на его пути лежат [SCOPE.sP('randomized_country_province').GetState.GetShortName] со всеми соседними поселениями. Пусть его речи не всегда связны и понятны, для многих они весьма притягательны.\n\nКонечно, есть и те, кто старается опорочить его имя, но лично у нас нет никаких причин отваживать от него людей."
 dhe_jainism.1.a:0 "Пусть следуют его учению, лишь бы вели себя мирно."
 dhe_jainism.1.b:0 "И всё же мы не видим смысла позволять им исповедовать учение этого чужеземца."
 jainism_medium.tt:0 "До #Y 20%#! населения города #Y [THIS.GetProvince.GetName]#! обратится в #Y джайнизм#!."
 jainism_minor.tt:0 "До #Y 10%#! населения города #Y [THIS.GetProvince.GetName]#! обратится в #Y джайнизм#!."
 dhe_city_fall.1.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.1.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nЭтот город уже давно был центром карфагенской культуры и государственности, он известен своей большой гаванью и торговыми связями с дальними странами. Он краеугольный камень торговой империи, что тянется от Испании на западе до старых финикийских городов на востоке.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто просит нас разграбить город полностью и вывезти все ценное домой, в столицу [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.1.a:0 "Мы не станем трогать жителей города [SCOPE.sP('special_province').GetName]."
 dhe_city_fall.1.b:0 "Наша столица, [ROOT.GetProvince.GetOwner.GetName] получит лишь самые ценные трофеи."
 dhe_city_fall.1.c:0 "Забрать из города все ценное."
 dhe_city_fall.2.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.2.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nЭтот город уже давно был центром Римской республики, которая славилась своей беспощадностью и доблестью на поле боя. Республика активно расширялась, стала основным политическим игроком на полуострове и начала взаимодействовать с государствами всего Средиземноморья.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как нам поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.2.a:0 "Мы предоставим римлян самим себе."
 dhe_city_fall.2.b:0 "Нам может пригодиться часть самых ценных артефактов."
 dhe_city_fall.2.c:0 "Разграбить город полностью: не оставляйте в нем ничего ценного."
 dhe_city_fall.3.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.3.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nЭтот город был заселен самим Александром Македонским во время его великого похода. Говорят, великий завоеватель предвидел, что город станет одной из столиц его новообразованной империи. После смерти Александра значение города только выросло, под властью Птолемеев тот сделался блистательным центром эллинистической культуры.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.3.a:0 "Мы защитим этот славный город."
 dhe_city_fall.3.b:0 "Мы возьмем домой самые ценные произведения их искусства."
 dhe_city_fall.3.c:0 "Разграбить каждый дом и переправить всё к нам, в город [ROOT.GetProvince.GetOwner.GetName]."
 dhe_city_fall.4.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.4.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] был древней столицей египтян, важнейшим центром торговли и религии. Долгое время он играл важную роль посредника между Верхним и Нижним Египтом. Прервать эту связь — лишь первый из многих шагов по завоеванию власти в стране.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.4.a:0 "Мы проследим, чтобы древний город остался нетронутым."
 dhe_city_fall.4.b:0 "Давайте заберем домой самые ценные произведения их искусства."
 dhe_city_fall.4.c:0 "Мы заберем из города [SCOPE.sP('special_province').GetName] все ценное."
 dhe_city_fall.5.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.5.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] с незапамятных времён был центром финикийской торговли. Многие столетия финикийские торговцы странствовали по свету, доходя на запад до берегов Испании. Этот город одним из последних пал перед Александром Македонским, когда тот прошёл военным походом через Персию, и был частично разрушен за непокорность.\n\nТеперь, когда город перешёл под наш контроль, как простой народ, так и советники размышляют, как нам поступить с давним врагом. Находятся те, кто предлагает устроить грабёж и вывезти всё ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.5.a:0 "Мы оставим город [SCOPE.sP('special_province').GetName] в покое."
 dhe_city_fall.5.b:0 "Они ведь не будут возражать, если мы заберем себе часть артефактов?"
 dhe_city_fall.5.c:0 "Мы заберем с собой тайны финикийцев."
 dhe_city_fall.6.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.6.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] веками стоял на передовой еврейской культуры. В центре его высится уникальное строение: большой храм местного бога. Город обладает глубокими историческими корнями, некогда он был столицей Иудейского царства, пока то не захватили египтяне.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.6.a:0 "Мы поможем жителям города [SCOPE.sP('special_province').GetName] в эти непростые времена."
 dhe_city_fall.6.b:0 "Мы проследим, чтобы наши солдаты не забрали все подчистую."
 dhe_city_fall.6.c:0 "Город наш, и все в нем наше."
 dhe_city_fall.7.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.7.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород был возведен рядом с храмом Зевсу — предположительно, в честь Александра Македонского. После смерти Александра в городе обосновался Антигон Одноглазый, который подумывал основать здесь свою столицу. Город стоит на перепутье между Анатолией, Сирией и Арменией и играет важнейшую роль в политике региона.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город  [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.7.a:0 "Мы не станем трогать столицу Антигона."
 dhe_city_fall.7.b:0 "Наши люди заберут домой лишь несколько произведений искусства."
 dhe_city_fall.7.c:0 "Мы проследим, чтобы наши люди забрали домой все."
 dhe_city_fall.8.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.8.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nВавилон возведен у Евфрата, это важнейший город-государство и царство, один из основных игроков на политической арене Месопотамии. Лишившись независимости, он стал одним из ключевых городов Персидской империи и не утратил статуса в державе Александра Македонского. Александр заболел и умер в Вавилоне, после чего и начался раскол его недолго просуществовавшей империи.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.8.a:0 "Вавилон останется нетронутым, он будет важной частью державы [ROOT.GetProvince.GetOwner.GetName]."
 dhe_city_fall.8.b:0 "Мы заберем часть произведений искусства домой."
 dhe_city_fall.8.c:0 "Забрать все ценное в столицу [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.9.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.9.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] был заселен Селевком Никатором, он находится в самом центре его огромной империи, на берегах Тигра, неподалеку от одного из каналов Евфрата: это настоящий перекресток самых важных торговых путей региона. В городе проживает множество эллинов и македонцев, и потому он сыграл важную роль в эллинизации Месопотамии и во многом напоминает саму империю Селевкидов.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.9.a:0 "Городу Селевка нечего бояться."
 dhe_city_fall.9.b:0 "Мы заберем лишь самые ценные артефакты."
 dhe_city_fall.9.c:0 "Забрать все."
 dhe_city_fall.10.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.10.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] долгое время был одной из столиц Персидской империи, он не только играл важную роль в регионе, но и служил религиозным центром всей Персидской империи. Александр взял город и в пьяном безумии выжег его едва ли не полностью: возможно, желая отомстить персам за сожжение афинского акрополя.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.10.a:0 "Мы проследим, чтобы великий город остался нетронутым."
 dhe_city_fall.10.b:0 "Наши солдаты лишь отвезут домой пару монументов."
 dhe_city_fall.10.c:0 "Разграбить город."
 dhe_city_fall.11.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.11.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] долгое время играл важную роль в региональной политике, став столицей династии Шайшунага, а затем — империи Нанда, после чего его захватила династия Маурьев, также сделав его столицей. [SCOPE.sP('special_province').GetName] — центр мира, перекрестье торговых путей, истинное чудо, с которым не сравнятся другие города и державы.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.11.a:0 "Город [SCOPE.sP('special_province').GetName] останется нетронутым."
 dhe_city_fall.11.b:0 "Будут взяты лишь самые ценные артефакты."
 dhe_city_fall.11.c:0 "Забрать из города все ценное."
 dhe_city_fall.12.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.12.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] долгое время был столицей сиракузских деспотов и центром науки и технологии Великой Греции. Он пережил немало стычек с юго-западными соседями, карфагенянами, и с окрестными городами-государствами.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.12.a:0 "Этот чудесный город станет важной частью империи [ROOT.GetProvince.GetOwner.GetName]."
 dhe_city_fall.12.b:0 "Мы заберем лишь самые ценные артефакты."
 dhe_city_fall.12.c:0 "Город наш, и все в нем наше."
 dhe_city_fall.13.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.13.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] был одним из двух основных участников Пелопонесской войны, а также возглавлял Афинский союз и сражался с персидскими захватчиками. Он привлекал философов со всей Греции и славился своей демократией. Когда на региональной политической арене появились македонцы, Афины постарались вернуть себе мощь и независимость.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.13.a:0 "Город философов не пострадает от нашего правления."
 dhe_city_fall.13.b:0 "Мы лишь заберем домой несколько произведений искусства."
 dhe_city_fall.13.c:0 "Забрать из города все, не оставлять в нем ничего ценного."
 dhe_city_fall.14.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.14.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] был одним из двух основных участников Пелопонесской войны, а также одним из городов-государств, восставших против персидской оккупации. Несмотря на свою немногочисленность, лакедемоняне славятся боевой доблестью. Когда на региональной политической арене появились македонцы, Спарта во многом утратила свою значимость — не в последнюю очередь из-за небольшого населения.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.14.a:0 "Гордый дом лакедемонян не пострадает от нашего правления."
 dhe_city_fall.14.b:0 "Мы вывезем из города [SCOPE.sP('special_province').GetName] в город [ROOT.GetProvince.GetOwner.GetName] часть артефактов."
 dhe_city_fall.14.c:0 "Мы заберем все ценное — если придется, то и разрушив их жалкие лачуги."
 dhe_city_fall.15.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.15.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] был относительно небольшим по сравнению с его южными соседями, пока неожиданно не набрали могущество македонцы. После гегемонии Филиппа II и великих походов его сына Александра город превратился в один из богатейших и важнейших греческих торговых портов и стал центром македонской культуры, распространившейся по всей Персии.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.15.a:0 "Дом Александра останется в неприкосновенности."
 dhe_city_fall.15.b:0 "Мы заберем домой лишь несколько македонских сокровищ."
 dhe_city_fall.15.c:0 "Мы разграбим город так, что был бы впечатлен сам Александр."
 dhe_city_fall.16.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.16.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] был провозглашен столицей Лисимаха, единственного греческого диадоха Александра. Он расположен на Херсонесе Фракийском и со времен своего основания играет важнейшую роль как крупный торговый порт и административный центр.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.16.a:0 "Город останется нетронутым."
 dhe_city_fall.16.b:0 "Домой будут вывезены лишь самые ценные артефакты."
 dhe_city_fall.16.c:0 "Забрать из города все ценное."
 dhe_city_fall.17.t:0 "Завоевание города [SCOPE.sP('special_province').GetName]"
 dhe_city_fall.17.desc:0 "Великий город [SCOPE.sP('special_province').GetName] наконец-то сдался нашим войскам, и теперь он наш.\n\nГород [SCOPE.sP('special_province').GetName] славится по всему Средиземноморью своей страстью к независимости и мастерством своих ремесленников. Несколько царей и правителей захватывали власть над островом, но он всегда возвращал независимость. Самой впечатляющей стала тяжелейшая победа над Антигоном Одноглазым и его сыном Деметрием.\n\nТеперь, когда город перешел под наш контроль, как простой народ, так и советники размышляют, как стоит поступить с давним врагом. Находятся те, кто предлагает устроить грабеж и вывезти все ценное домой, в город [ROOT.GetProvince.GetOwner.GetCapital.GetName]."
 dhe_city_fall.17.a:0 "Великие мастера Родоса не пострадают от нашего правления."
 dhe_city_fall.17.b:0 "Мы заберем в город [ROOT.GetProvince.GetOwner.GetCapital.GetName] лишь несколько образцов их мастерства."
 dhe_city_fall.17.c:0 "Забрать из города все ценное."
 parthians_on_the_warpath:0 "Дахи становятся всё более воинственными."
 dhe_bactria.1.t:0 "Греко-бактрийские отношения"
 dhe_bactria.1.desc:0 "Македонский градоначальник города [SCOPE.sP('country_province').GetName], что в провинции [SCOPE.sP('country_province').GetState.GetName], отправил нам гонца с просьбой помочь в ассимиляции части городского населения. Он хочет, чтобы мы не только рассказали местным о нашей культуре, но и послали новых людей в город [SCOPE.sP('country_province').GetName], чтобы те послужили примером остальным.\n\nУ местных бактрийцев и нашего народа в прошлом были разногласия, и потому наше бездействие в данном случае вполне может привести к новым конфликтам."
 dhe_bactria.1.a:0 "Мы отправим людей ему на помощь."
 dhe_bactria.1.b:0 "Я думаю, они разберутся и без нашей помощи."
 dhe_bactria.1.tt:0 "До #Y 20%#! #Y неэллинского#! населения города #Y [THIS.GetProvince.GetName]#! станет #Y македонцами#!."
 dhe_bactria.2.t:0 "Бактриец для Бактрии"
 dhe_bactria.2.desc:0 "Греки достаточно долго властвовали над Бактрией, теперь же ей умело правит [ROOT.GetCountry.GetRuler.GetName], человек с бактрийскими корнями и греческим образованием. Значит, у нас появился лидер, которого принимают и те и другие, и, возможно, настал час вспомнить о наших истоках.\n\nМы были сатрапией при Ахеменидах, Александре, Антигоне и Селевке, но теперь пора найти собственный путь, без чужих властителей."
 dhe_bactria.2.a:0 "Да, настало время перемен."
 dhe_bactria.2.a.tt:0 "До #Y 33%#! населения города #Y [SCOPE.sCountry('original_country').GetCapital.GetName]#! станет #Y бактрийцами. #!"
 dhe_bactria.2.b:0 "Вспомнить наше прошлое — интересная мысль."
 dhe_bactria.2.c:0 "И всё же [ROOT.GetCountry.Custom('get_base_government_type')] не отступит от греческого образца."
 dhe_bactria.2.c.tt:0 "До #Y 33%#! населения города #Y [SCOPE.sCountry('original_country').GetCapital.GetName]#! станет #Y македонцами. #!\nМы забудем бактрийское прошлое."
 dhe_bactria.3.t:0 "Восхождение Диодота"
 dhe_bactria.3.desc:0 "[ROOT.GetCountry.Custom('get_base_government_type')] кипит — там вовсю обсуждают мелкого аристократа по имени Диодот. Похоже, он умудряется участвовать во всех мало-мальски важных делах, будь то гражданские или военные заботы, и везде преуспевает.\n\nВ скором времени его пригласили к нашему двору, чтобы он помогал работе правительства."
 dhe_bactria.3.a:0 "Интересный человек, не так ли?"
 dhe_bactria.4.t:0 "Восхождение Диодота"
 dhe_bactria.4.desc:0 "Диодот превзошёл все ожидания и завоевал огромную популярность при дворе, очень скоро о нём начали говорить как о возможном наследнике трона Бактрии. Сперва об этом даже не говорили вслух, но теперь такая возможность обсуждается повсеместно.\n\n[ROOT.GetCountry.GetRuler.GetName] уже задумывается о том, чтобы уйти из политики, и народ начал обсуждать право Диодота на власть."
 dhe_bactria.4.a:0 "Время для перемен"
 dhe_bactria.4.b:0 "Нет, пусть правит [ROOT.GetCountry.GetRuler.GetName]."
 dhe_bactria.6.t:0 "Стук копыт"
 dhe_bactria.6.desc:0 "В далёких землях, где скачут дикие скифы, ходят слухи о войне. Появилась яркая звезда, обещающая дахам новый дом среди земель на юге, и теперь все гонцы из тех краёв передают: в степи к чему-то готовятся.\n\nЭто нельзя не учитывать — даже греческим царям следует опасаться подобной угрозы, сколь бы философски они ни взирали на жизнь. Если действительно начнётся столь масштабное вторжение, как говорят очевидцы, мир пошатнётся."
 dhe_bactria.6.a:0 "Наш взгляд будет неизменно устремлён на горизонт."
 dhe_slave.1.t:0 "Раб-подстрекатель ораторствует в городе [SCOPE.sP('incendiary_slave_city_scope').GetName]"
 dhe_slave.1.desc:0 "Запальчивый раб по имени [SCOPE.sChar('incendiary_slave_scope').GetPraenomen], обладающий ораторскими талантами, будоражит своих товарищей в городе [SCOPE.sP('incendiary_slave_city_scope').GetName]. До сих пор местным властям удавалось держать ситуацию под контролем, но этот дерзкий глупец продолжает рассуждать о продажности и несправедливости политической системы, и [SCOPE.sChar('incendiary_slave_ruler').GetName] поминается в этих речах довольно часто.\n\nРабы всей провинции [SCOPE.sP('incendiary_slave_city_scope').GetState.GetShortName] наслышаны о его подвигах, а городская элита и рабовладельцы требуют немедленно принять меры, чтобы пошатнувшийся статус-кво не был нарушен окончательно. И добавляют, что восстания рабов следует подавлять в зародыше."
