l_russian:
 PROV1:0 "Рим"
 PROV2114:0 "Велуниата"
 PROV2115:0 "Вениконы"
 PROV2116:0 "Тексалии"
 PROV2117:0 "Эпидии"
 PROV2118:0 "Креоны Северные"
 PROV2119:0 "Карнонаки"
 PROV2120:0 "Каледонии"
 PROV2121:0 "Церении"
 PROV2122:0 "Корнавии"
 PROV2123:0 "Вакомагии"
 PROV2124:0 "Линдон"
 PROV2125:0 "Тексалон Акрон"
 PROV2126:0 "Эпидий Акрон"
 PROV2127:0 "Малай"
 PROV2128:0 "Сциций"
 PROV2129:0 "Думна Северная"
 PROV2130:0 "Думна Южная"
 PROV2131:0 "Вируендрум Акрон"
 PROV2132:0 "Оркады"
 PROV2133:0 "Пинната Кастра"
 PROV2134:0 "Кориалл"
 PROV2135:0 "Алуна"
 PROV2136:0 "Круциаконн"
 PROV2137:0 "Козедия"
 PROV2138:0 "Августод"
 PROV2139:0 "Церизиак"
 PROV2140:0 "Ингена"
 PROV2141:0 "Регинка"
 PROV2142:0 "Фанум Марций"
 PROV2143:0 "Кондата Редониев"
 PROV2144:0 "Сипия"
 PROV2145:0 "Дол"
 PROV2146:0 "Матриниака"
 PROV2147:0 "Дуреция"
 PROV2148:0 "Дариориг"
 PROV2149:0 "Сулис"
 PROV2150:0 "Воргий"
 PROV2151:0 "Ворганий"
 PROV2152:0 "Гезоскрибата"
 PROV2153:0 "Граннона"
 PROV2154:0 "Поллик"
 PROV2155:0 "Агритора"
 PROV2156:0 "Кориозолит"
 PROV2157:0 "Озисмет"
 PROV2158:0 "Трегорит"
 PROV2159:0 "Геллория"
 PROV2160:0 "Леониция"
 PROV2161:0 "Иверния"
 PROV2162:0 "Западная Усдия"
 PROV2163:0 "Велабория Южная"
 PROV2164:0 "Бригантия Северная"
 PROV2165:0 "Кориондия Северная"
 PROV2166:0 "Гангания"
 PROV2167:0 "Манапия Северная"
 PROV2168:0 "Кавкия"
 PROV2169:0 "Аутения Южная"
 PROV2170:0 "Эблания"
 PROV2171:0 "Нагнатия Западная"
 PROV2172:0 "Восточная Волунтия"
 PROV2173:0 "Дариния Северная"
 PROV2174:0 "Робогдия Западная"
 PROV2175:0 "Веникния Южная"
 PROV2176:0 "Иверния Северная"
 PROV2177:0 "Иверния Южная"
 PROV2178:0 "Восточная Усдия"
 PROV2179:0 "Велабория Западная"
 PROV2180:0 "Велабория Северная"
 PROV2181:0 "Велабория Восточная"
 PROV2182:0 "Велабория"
 PROV2183:0 "Гангания Восточная"
 PROV2184:0 "Гангания Северная"
 PROV2185:0 "Восточная Гангания"
 PROV2186:0 "Бригантия Южная"
 PROV2187:0 "Бригантия"
 PROV2188:0 "Кориондия Южная"
 PROV2189:0 "Кориондия"
 PROV2190:0 "Восточная Манапия"
 PROV2191:0 "Манапия Западная"
 PROV2192:0 "Манапия Южная"
 PROV2193:0 "Восточная Кавкия"
 PROV2194:0 "Кавкия Западная"
 PROV2195:0 "Исамнион"
 PROV2196:0 "Эблания Западная"
 PROV2197:0 "Аутения Северная"
 PROV2198:0 "Восточная Аутения"
 PROV2199:0 "Аутения"
 PROV2200:0 "Аутения Западная"
 PROV2201:0 "Нагнатия Южная"
 PROV2202:0 "Восточная Нагнатия"
 PROV2203:0 "Восточная Венникния"
 PROV2204:0 "Веникния Северная"
 PROV2205:0 "Волунтия Западная"
 PROV2206:0 "Волунтия Северная"
 PROV2207:0 "Восточная Робогдия"
 PROV2208:0 "Дариния Южная"
 PROV2209:0 "Сипия Западная"
 PROV2210:0 "Мыс Пиктоний"
 PROV2211:0 "Раций"
 PROV2212:0 "Намнет"
 PROV2213:0 "Альбанополь"
 PROV2214:0 "Диаблинт"
 PROV2215:0 "Форик"
 PROV2216:0 "Абрикаты"
 PROV2217:0 "Модулус"
 PROV2218:0 "Арегенуа"
 PROV2219:0 "Новиодун"
 PROV2220:0 "Эзувия Северная"
 PROV2221:0 "Эзувия Южная"
 PROV2222:0 "Лексовиорум"
 PROV2223:0 "Эста"
 PROV2224:0 "Пиктавия Северная"
 PROV2225:0 "Пиктавия Южная"
 PROV2226:0 "Бецциак"
 PROV2227:0 "Вертавия"
 PROV2228:0 "Пиктония"
 PROV2229:0 "Новиорег Сантонов"
 PROV2230:0 "Медиолан Сантонов"
 PROV2231:0 "Ламн"
 PROV2232:0 "Танн"
 PROV2233:0 "Новиомаг"
 PROV2234:0 "Бург"
 PROV2235:0 "Акротерий"
 PROV2236:0 "Бурдигала"
 PROV2237:0 "Лоза"
 PROV2238:0 "Сегоза"
 PROV2239:0 "Москонн"
 PROV2240:0 "Лапурд"
 PROV2241:0 "Телонн"
 PROV2242:0 "Кеквоза"
 PROV2243:0 "Аквы Тарбеллиевы"
 PROV2244:0 "Караза"
 PROV2245:0 "Стомат"
 PROV2246:0 "Илурон"
 PROV2247:0 "Бене Харн"
 PROV2248:0 "Новум Оппидум"
 PROV2249:0 "Тарба"
 PROV2250:0 "Атура"
 PROV2251:0 "Вик Аквенсий"
 PROV2252:0 "Лугдун Конвениев"
 PROV2253:0 "Консораннии"
 PROV2254:0 "Тарускон"
 PROV2255:0 "Каркассон"
 PROV2256:0 "Нарбон"
 PROV2257:0 "Русцинон"
 PROV2258:0 "Узуэрва"
 PROV2259:0 "Бетерры"
 PROV2260:0 "Агата"
 PROV2261:0 "Лутева"
 PROV2262:0 "Сегодун"
 PROV2263:0 "Альбига"
 PROV2264:0 "Клодиана"
 PROV2265:0 "Толоза"
 PROV2266:0 "Аквы Сикки"
 PROV2267:0 "Элузион"
 PROV2268:0 "Карантомаг"
 PROV2269:0 "Дивона"
 PROV2270:0 "Агинн"
 PROV2271:0 "Лактора"
 PROV2272:0 "Коссий"
 PROV2273:0 "Элеуза"
 PROV2274:0 "Савиниагон"
 PROV2275:0 "Элимберр"
 PROV2276:0 "Калагоррий"
 PROV2277:0 "Бельсин"
 PROV2278:0 "Казиномаг"
 PROV2279:0 "Сарналы"
 PROV2280:0 "Маринав"
 PROV2281:0 "Уссубий"
 PROV2282:0 "Везунна"
 PROV2283:0 "Августорит"
 PROV2284:0 "Герговия"
 PROV2285:0 "Габал"
 PROV2286:0 "Веллав"
 PROV2287:0 "Кортерата"
 PROV2288:0 "Премиак"
 PROV2289:0 "Луканиак"
 PROV2290:0 "Икулисма"
 PROV2291:0 "Сарр"
 PROV2292:0 "Помпегиакон"
 PROV2293:0 "Экскис"
 PROV2294:0 "Травект"
 PROV2295:0 "Ад Силанум"
 PROV2296:0 "Кондата Арвернская"
 PROV2297:0 "Цебенния"
 PROV2298:0 "Брив"
 PROV2299:0 "Билиомаг"
 PROV2300:0 "Аквы Сегетов"
 PROV2301:0 "Лугдун"
 PROV2302:0 "Сегуслав"
 PROV2303:0 "Октавий"
 PROV2304:0 "Виенна"
 PROV2305:0 "Августа Аллоброгская"
 PROV2306:0 "Фиглины"
 PROV2307:0 "Моргинн"
 PROV2308:0 "Валенция"
 PROV2309:0 "Батиана"
 PROV2310:0 "Керебеллиака"
 PROV2311:0 "Альба Гельвиев"
 PROV2312:0 "Андузия"
 PROV2313:0 "Секстанцион"
 PROV2314:0 "Немауз"
 PROV2315:0 "Бригинн"
 PROV2316:0 "Сатурны"
 PROV2317:0 "Уцеция"
 PROV2318:0 "Роданузия"
 PROV2319:0 "Арелат"
 PROV2320:0 "Араузион"
 PROV2321:0 "Авеннион"
 PROV2322:0 "Карпентората"
 PROV2323:0 "Писавы"
 PROV2324:0 "Апта Юлия"
 PROV2325:0 "Массалия"
 PROV2326:0 "Децаниак"
 PROV2327:0 "Акуциагон"
 PROV2328:0 "Брива"
 PROV2329:0 "Нонниак"
 PROV2330:0 "Узерка"
 PROV2331:0 "Гемиллиак"
 PROV2332:0 "Негиак"
 PROV2333:0 "Канвиак"
 PROV2334:0 "Кампаниак"
 PROV2335:0 "Марцеллиагон"
 PROV2336:0 "Лисс"
 PROV2337:0 "Аргента"
 PROV2338:0 "Эустриак"
 PROV2339:0 "Укселлодун"
 PROV2340:0 "Тиниак"
 PROV2341:0 "Куризиак"
 PROV2342:0 "Убиквий"
 PROV2343:0 "Сальвиак"
 PROV2344:0 "Дуротинк"
 PROV2345:0 "Лимон"
 PROV2346:0 "Аргентомаг"
 PROV2347:0 "Аварик"
 PROV2348:0 "Августодун"
 PROV2349:0 "Вивик"
 PROV2350:0 "Ценаб"
 PROV2351:0 "Бруцироннон"
 PROV2352:0 "Юлиомаг"
 PROV2353:0 "Аутессиод"
 PROV2354:0 "Андематунн"
 PROV2355:0 "Везонцион"
 PROV2356:0 "Лудна"
 PROV2357:0 "Бриораций"
 PROV2358:0 "Лунна"
 PROV2359:0 "Мацискон"
 PROV2360:0 "Кабиллон"
 PROV2361:0 "Круцины"
 PROV2362:0 "Каструм Дивион"
 PROV2363:0 "Понс Ариола"
 PROV2364:0 "Родумна"
 PROV2365:0 "Покринний"
 PROV2366:0 "Аллсинк"
 PROV2367:0 "Децеция"
 PROV2368:0 "Тинконций"
 PROV2369:0 "Берберика"
 PROV2370:0 "Трансалий"
 PROV2371:0 "Аквы Калиды"
 PROV2372:0 "Сицилия"
 PROV2373:0 "Рикомаг"
 PROV2374:0 "Артона"
 PROV2375:0 "Манат"
 PROV2376:0 "Аквы Нери"
 PROV2377:0 "Дервент"
 PROV2378:0 "Финес Секундум"
 PROV2379:0 "Аццитодун"
 PROV2380:0 "Камбон"
 PROV2381:0 "Медиоланик"
 PROV2382:0 "Идун"
 PROV2383:0 "Ферруциак"
 PROV2384:0 "Возаг"
 PROV2385:0 "Андекамул"
 PROV2386:0 "Амбиак"
 PROV2387:0 "Эксидуал"
 PROV2388:0 "Комодолиак"
 PROV2389:0 "Кассиномаг"
 PROV2390:0 "Рауран"
 PROV2391:0 "Бригиоз"
 PROV2392:0 "Ауннедонак"
 PROV2393:0 "Воглада"
 PROV2394:0 "Цезародун"
 PROV2395:0 "Бриггогал"
 PROV2396:0 "Клиннон"
 PROV2397:0 "Вультакон"
 PROV2398:0 "Сегора"
 PROV2399:0 "Тоарций"
 PROV2400:0 "Робрика"
 PROV2401:0 "Новилиак"
 PROV2402:0 "Брикка"
 PROV2403:0 "Салика"
 PROV2404:0 "Сисциак"
 PROV2405:0 "Понтиниак"
 PROV2406:0 "Лепроз"
 PROV2407:0 "Габр"
 PROV2408:0 "Битуригум"
 PROV2409:0 "Эрнод"
 PROV2410:0 "Эксолидун"
 PROV2411:0 "Сегивомик"
 PROV2412:0 "Ногеомаг"
 PROV2413:0 "Вик Массава"
 PROV2414:0 "Кондата Авариков"
 PROV2415:0 "Интаран"
 PROV2416:0 "Бривод"
 PROV2417:0 "Белька"
 PROV2418:0 "Бандрит"
 PROV2419:0 "Клаудиомаг"
 PROV2420:0 "Ициодорон"
 PROV2421:0 "Цизомаг"
 PROV2422:0 "Ония"
 PROV2423:0 "Севериак"
 PROV2424:0 "Тасциака"
 PROV2425:0 "Блез"
 PROV2426:0 "Навицелл"
 PROV2427:0 "Сегободий"
 PROV2428:0 "Варция"
 PROV2429:0 "Тилена"
 PROV2430:0 "Торнод"
 PROV2431:0 "Верциллий"
 PROV2432:0 "Кора Вик"
 PROV2433:0 "Беневелл"
 PROV2434:0 "Цервидун"
 PROV2435:0 "Видубия"
 PROV2436:0 "Дивионенса"
 PROV2437:0 "Сидолук"
 PROV2438:0 "Бибракта"
 PROV2439:0 "Абаллон"
 PROV2440:0 "Алезия"
 PROV2441:0 "Автрик"
 PROV2442:0 "Авлеркорум"
 PROV2443:0 "Ротомаг"
 PROV2444:0 "Каталак"
 PROV2445:0 "Августомаг"
 PROV2446:0 "Цезаромаг"
 PROV2447:0 "Иацинон"
 PROV2448:0 "Агединк"
 PROV2449:0 "Августобона"
 PROV2450:0 "Дурокаталаун"
 PROV2451:0 "Дурокорт"
 PROV2452:0 "Августа Суессионов"
 PROV2453:0 "Тулл"
 PROV2454:0 "Дивод"
 PROV2455:0 "Вириодун"
 PROV2456:0 "Лабрин"
 PROV2457:0 "Дуненса Кастр"
 PROV2458:0 "Виндоциний"
 PROV2459:0 "Виндин"
 PROV2460:0 "Восточная Карнутия"
 PROV2461:0 "Карнутия Западная"
 PROV2462:0 "Дорок"
 PROV2463:0 "Кондата"
 PROV2464:0 "Эбуровикия"
 PROV2465:0 "Бревиод"
 PROV2466:0 "Уггата"
 PROV2467:0 "Пентала"
 PROV2468:0 "Каракотин"
 PROV2469:0 "Ритумаг"
 PROV2470:0 "Галетия Западная"
 PROV2471:0 "Восточная Галетия"
 PROV2472:0 "Брива Изары"
 PROV2473:0 "Авалок"
 PROV2474:0 "Неметод"
 PROV2475:0 "Лютеция"
 PROV2476:0 "Дортенкон"
 PROV2477:0 "Диод"
 PROV2478:0 "Салиоклита"
 PROV2479:0 "Пограничные земли Галлии"
 PROV2480:0 "Монтаргия"
 PROV2481:0 "Меллодун"
 PROV2482:0 "Кондата Агединк"
 PROV2483:0 "Кала"
 PROV2484:0 "Калаг"
 PROV2485:0 "Риоба"
 PROV2486:0 "Луция"
 PROV2487:0 "Сенония"
 PROV2488:0 "Эбуробрига"
 PROV2489:0 "Артиака"
 PROV2490:0 "Маллиак"
 PROV2491:0 "Мугилония"
 PROV2492:0 "Одомаг"
 PROV2493:0 "Изара"
 PROV2494:0 "Базиллия"
 PROV2495:0 "Таномия"
 PROV2496:0 "Катуриций"
 PROV2497:0 "Назий"
 PROV2498:0 "Саврициак"
 PROV2499:0 "Скарпонна"
 PROV2500:0 "Тирренское море"
 PROV2501:0 "Сицилийский канал"
 PROV2502:0 "Пестумский пролив"
 PROV2503:0 "Тирренское море"
 PROV2504:0 "Тирренское море"
 PROV2505:0 "Тирренское море"
 PROV2506:0 "Тирренское море"
 PROV2507:0 "Венетский пролив"
 PROV2508:0 "Адриатическое море"
 PROV2509:0 "Адриатическое море"
 PROV2510:0 "Ионическое море"
 PROV2511:0 "Ионическое море"
 PROV2512:0 "Либурнский пролив"
 PROV2513:0 "Ионическое море"
 PROV2514:0 "Ионическое море"
 PROV2515:0 "Венетский пролив"
 PROV2516:0 "Мелитенский канал"
 PROV2517:0 "Сицилийский канал"
 PROV2518:0 "Ионическое море"
 PROV2519:0 "Мелитенский канал"
 PROV2520:0 "Сицилийский канал"
 PROV2521:0 "Тирренское море"
 PROV2522:0 "Тарентский пролив"
 PROV2523:0 "Иберийское море"
 PROV2524:0 "Балеарское море"
 PROV2525:0 "Иберийское море"
 PROV2526:0 "Либурнский пролив"
 PROV2527:0 "Адриатическое море"
 PROV2528:0 "Адриатическое море"
 PROV2529:0 "Адриатическое море"
 PROV2530:0 "Сипонтийский пролив"
 PROV2531:0 "Адриатическое море"
 PROV2532:0 "Адриатическое море"
 PROV2533:0 "Гидрунтский канал"
 PROV2534:0 "Адриатическое море"
 PROV2535:0 "Адриатическое море"
 PROV2536:0 "Адриатическое море"
 PROV2537:0 "Адриатическое море"
 PROV2538:0 "Адриатическое море"
 PROV2539:0 "Адриатическое море"
 PROV2540:0 "Адриатическое море"
 PROV2541:0 "Адриатическое море"
 PROV2542:0 "Адриатическое море"
 PROV2543:0 "Уккринийка"
 PROV2544:0 "Адриатическое море"
 PROV2545:0 "Адриатическое море"
 PROV2546:0 "Тирренское море"
 PROV2547:0 "Лигурийское море"
 PROV2548:0 "Генуатский пролив"
 PROV2549:0 "Лигурийское море"
 PROV2550:0 "Сардонское море"
 PROV2551:0 "Галльский пролив"
 PROV2552:0 "Галльский пролив"
 PROV2553:0 "Внутреннее море"
 PROV2554:0 "Иберийское море"
 PROV2555:0 "Иберийское море"
 PROV2556:0 "Иберийское море"
 PROV2557:0 "Иберийское море"
 PROV2558:0 "Иберийское море"
 PROV2559:0 "Иберийское море"
 PROV2560:0 "Иберийское море"
 PROV2561:0 "Иберийское море"
 PROV2562:0 "Внутреннее море"
 PROV2563:0 "Гиппоненсийский залив"
 PROV2564:0 "Утикский пролив"
 PROV2565:0 "Сицилийский канал"
 PROV2566:0 "Неаполитанский залив"
 PROV2567:0 "Ливийское море"
 PROV2568:0 "Малая отмель"
 PROV2569:0 "Ливийское море"
 PROV2570:0 "Ливийское море"
 PROV2571:0 "Большая отмель"
 PROV2572:0 "Большой Сирт"
 PROV2573:0 "Большой Сирт"
 PROV2574:0 "Египетское море"
 PROV2575:0 "Египетское море"
 PROV2576:0 "Египетское море"
 PROV2577:0 "Египетское море"
 PROV2578:0 "Дельта Нила"
 PROV2579:0 "Дельта Нила"
 PROV2580:0 "Финикийское море"
 PROV2581:0 "Финикийское море"
 PROV2582:0 "Финикийское море"
 PROV2583:0 "Финикийское море"
 PROV2584:0 "Финикийское море"
 PROV2585:0 "Кипрский канал"
 PROV2586:0 "Кипрский канал"
 PROV2587:0 "Ликийское море"
 PROV2588:0 "Ликийское море"
 PROV2589:0 "Ликийское море"
 PROV2590:0 "Икарийское море"
 PROV2591:0 "Ликийское море"
 PROV2592:0 "Карпатское море"
 PROV2593:0 "Икарийское море"
 PROV2594:0 "Икарийское море"
 PROV2595:0 "Икарийское море"
 PROV2596:0 "Египетское море"
 PROV2597:0 "Египетское море"
 PROV2598:0 "Критское море"
 PROV2599:0 "Критское море"
 PROV2600:0 "Египетское море"
 PROV2601:0 "Египетское море"
 PROV2602:0 "Критское море"
 PROV2603:0 "Арголидский пролив"
 PROV2604:0 "Саронский пролив"
 PROV2605:0 "Каристский канал"
 PROV2606:0 "Критское море"
 PROV2607:0 "Миртосское море"
 PROV2608:0 "Эгейское море"
 PROV2609:0 "Эгейское море"
 PROV2610:0 "Ионическое море"
 PROV2611:0 "Ионическое море"
 PROV2612:0 "Ионическое море"
 PROV2613:0 "Ионическое море"
 PROV2614:0 "Артемизийский канал"
 PROV2615:0 "Термский пролив"
 PROV2616:0 "Фракийское море"
 PROV2617:0 "Эгейское море"
 PROV2618:0 "Геллеспонт"
 PROV2619:0 "Эгейское море"
 PROV2620:0 "Эгейское море"
 PROV2621:0 "Эгейское море"
 PROV2622:0 "Эгейское море"
 PROV2623:0 "Пропонтида"
 PROV2624:0 "Сицилийский канал"
 PROV2625:0 "Сицилийский канал"
 PROV2626:0 "Ливийское море"
 PROV2627:0 "Ливийское море"
 PROV2628:0 "Ливийское море"
 PROV2629:0 "Ливийское море"
 PROV2630:0 "Мелитенский канал"
 PROV2631:0 "Ливийское море"
 PROV2632:0 "Ливийское море"
 PROV2633:0 "Ливийское море"
 PROV2634:0 "Ливийское море"
 PROV2635:0 "Ливийское море"
 PROV2636:0 "Ливийское море"
 PROV2637:0 "Ливийское море"
 PROV2638:0 "Ионическое море"
 PROV2639:0 "Ионическое море"
 PROV2640:0 "Ливийское море"
 PROV2641:0 "Ливийское море"
 PROV2642:0 "Ливийское море"
 PROV2643:0 "Большая отмель"
 PROV2644:0 "Большой Сирт"
 PROV2645:0 "Ливийское море"
 PROV2646:0 "Ливийское море"
 PROV2647:0 "Ионическое море"
 PROV2648:0 "Ионическое море"
 PROV2649:0 "Ионическое море"
 PROV2650:0 "Ионическое море"
 PROV2651:0 "Ионическое море"
 PROV2652:0 "Ионическое море"
 PROV2653:0 "Ливийское море"
 PROV2654:0 "Ливийское море"
 PROV2655:0 "Ионическое море"
 PROV2656:0 "Египетское море"
 PROV2657:0 "Ионическое море"
 PROV2658:0 "Египетское море"
 PROV2659:0 "Египетское море"
 PROV2660:0 "Египетское море"
 PROV2661:0 "Египетское море"
 PROV2662:0 "Египетское море"
 PROV2663:0 "Египетское море"
 PROV2664:0 "Египетское море"
 PROV2665:0 "Египетское море"
 PROV2666:0 "Египетское море"
 PROV2667:0 "Египетское море"
 PROV2668:0 "Египетское море"
 PROV2669:0 "Финикийское море"
 PROV2670:0 "Египетское море"
 PROV2671:0 "Финикийское море"
 PROV2672:0 "Финикийское море"
 PROV2673:0 "Египетское море"
 PROV2674:0 "Внутреннее море"
 PROV2675:0 "Египетское море"
 PROV2676:0 "Египетское море"
 PROV2677:0 "Финикийское море"
 PROV2678:0 "Ликийское море"
 PROV2679:0 "Финикийское море"
 PROV2680:0 "Кипрский канал"
 PROV2681:0 "Тирренское море"
 PROV2682:0 "Тирренское море"
 PROV2683:0 "Тирренское море"
 PROV2684:0 "Тирренское море"
 PROV2685:0 "Тирренское море"
 PROV2686:0 "Тирренское море"
 PROV2687:0 "Тирренское море"
 PROV2688:0 "Сардонское море"
 PROV2689:0 "Тирренское море"
 PROV2690:0 "Сардонское море"
 PROV2691:0 "Тирренское море"
 PROV2692:0 "Сардонское море"
 PROV2693:0 "Тирренское море"
 PROV2694:0 "Лигурийское море"
 PROV2695:0 "Лигурийское море"
 PROV2696:0 "Лигурийское море"
 PROV2697:0 "Тирренское море"
 PROV2698:0 "Тирренское море"
 PROV2699:0 "Тирренское море"
 PROV2700:0 "Тирренское море"
 PROV2701:0 "Внутреннее море"
 PROV2702:0 "Внутреннее море"
 PROV2703:0 "Сардонское море"
 PROV2704:0 "Сардонское море"
 PROV2705:0 "Внутреннее море"
 PROV2706:0 "Сардонское море"
 PROV2707:0 "Галльский пролив"
 PROV2708:0 "Сардонское море"
 PROV2709:0 "Сардонское море"
 PROV2710:0 "Сардонское море"
 PROV2711:0 "Сардонское море"
 PROV2712:0 "Сардонское море"
 PROV2713:0 "Сардонское море"
 PROV2714:0 "Сардонское море"
 PROV2715:0 "Балеарское море"
 PROV2716:0 "Иберийское море"
 PROV2717:0 "Сардонское море"
 PROV2718:0 "Иберийское море"
 PROV2719:0 "Балеарское море"
 PROV2720:0 "Сардонское море"
 PROV2721:0 "Балеарское море"
 PROV2722:0 "Балеарское море"
 PROV2723:0 "Иберийское море"
 PROV2724:0 "Иберийское море"
 PROV2725:0 "Иберийское море"
 PROV2726:0 "Иберийское море"
 PROV2727:0 "Иберийское море"
 PROV2728:0 "Иберийское море"
 PROV2729:0 "Иберийское море"
 PROV2730:0 "Гадитанский канал"
 PROV2731:0 "Понт Эвксинский"
 PROV2732:0 "Понт Эвксинский"
 PROV2733:0 "Понт Эвксинский"
 PROV2734:0 "Понт Эвксинский"
 PROV2735:0 "Понт Эвксинский"
 PROV2736:0 "Понт Эвксинский"
 PROV2737:0 "Понт Эвксинский"
 PROV2738:0 "Понт Эвксинский"
 PROV2739:0 "Понт Эвксинский"
 PROV2740:0 "Понт Эвксинский"
 PROV2741:0 "Понт Эвксинский"
 PROV2742:0 "Понт Эвксинский"
 PROV2743:0 "Понт Эвксинский"
 PROV2744:0 "Понт Эвксинский"
 PROV2745:0 "Понт Эвксинский"
 PROV2746:0 "Понт Эвксинский"
 PROV2747:0 "Понт Эвксинский"
 PROV2748:0 "Боспор Киммерийский"
 PROV2749:0 "Меотийские болота"
 PROV2750:0 "Меотийские болота"
 PROV2751:0 "Меотийские болота"
 PROV2752:0 "Меотийские болота"
 PROV2753:0 "Меотийские болота"
 PROV2754:0 "Понт Эвксинский"
 PROV2755:0 "Понт Эвксинский"
 PROV2756:0 "Понт Эвксинский"
 PROV2757:0 "Понт Эвксинский"
 PROV2758:0 "Понт Эвксинский"
 PROV2759:0 "Понт Эвксинский"
 PROV2760:0 "Понт Эвксинский"
 PROV2761:0 "Понт Эвксинский"
 PROV2762:0 "Понт Эвксинский"
 PROV2763:0 "Понт Эвксинский"
 PROV2764:0 "Понт Эвксинский"
 PROV2765:0 "Понт Эвксинский"
 PROV2766:0 "Понт Эвксинский"
 PROV2767:0 "Понт Эвксинский"
 PROV2768:0 "Понт Эвксинский"
 PROV2769:0 "Понт Эвксинский"
 PROV2770:0 "Понт Эвксинский"
 PROV2771:0 "Понт Эвксинский"
 PROV2772:0 "Понт Эвксинский"
 PROV2773:0 "Понт Эвксинский"
 PROV2774:0 "Понт Эвксинский"
 PROV2775:0 "Понт Эвксинский"
 PROV2776:0 "Понт Эвксинский"
 PROV2777:0 "Понт Эвксинский"
 PROV2778:0 "Понт Эвксинский"
 PROV2779:0 "Понт Эвксинский"
 PROV2780:0 "Атлантический океан"
 PROV2781:0 "Аденский пролив"
 PROV2782:0 "Аденский пролив"
 PROV2783:0 "Аденский пролив"
 PROV2784:0 "Аденский пролив"
 PROV2785:0 "Аденский пролив"
 PROV2786:0 "Аденский пролив"
 PROV2787:0 "Аденский пролив"
 PROV2788:0 "Эритрейское море"
 PROV2789:0 "Аденский пролив"
 PROV2790:0 "Эритрейское море"
 PROV2791:0 "Эритрейское море"
 PROV2792:0 "Эритрейское море"
 PROV2793:0 "Эритрейское море"
 PROV2794:0 "Эритрейское море"
 PROV2795:0 "Эритрейское море"
 PROV2796:0 "Эритрейское море"
 PROV2797:0 "Эритрейское море"
 PROV2798:0 "Эритрейское море"
 PROV2799:0 "Сахалитский пролив"
 PROV2800:0 "Эритрейское море"
 PROV2801:0 "Эритрейское море"
 PROV2802:0 "Эритрейское море"
 PROV2803:0 "Эритрейское море"
 PROV2804:0 "Эритрейское море"
 PROV2805:0 "Эритрейское море"
 PROV2806:0 "Эритрейское море"
 PROV2807:0 "Эритрейское море"
 PROV2808:0 "Персидский канал"
 PROV2809:0 "Персидский пролив"
 PROV2810:0 "Персидский пролив"
 PROV2811:0 "Персидский пролив"
 PROV2812:0 "Персидский пролив"
 PROV2813:0 "Персидский пролив"
 PROV2814:0 "Персидский пролив"
 PROV2815:0 "Персидский пролив"
 PROV2816:0 "Персидский пролив"
 PROV2817:0 "Персидский пролив"
 PROV2818:0 "Персидский пролив"
 PROV2819:0 "Персидский пролив"
 PROV2820:0 "Персидский пролив"
 PROV2821:0 "Персидский пролив"
 PROV2822:0 "Персидский пролив"
 PROV2823:0 "Эритрейское море"
 PROV2824:0 "Эритрейское море"
 PROV2825:0 "Эритрейское море"
 PROV2826:0 "Эритрейское море"
 PROV2827:0 "Эритрейское море"
 PROV2828:0 "Эритрейское море"
 PROV2829:0 "Эритрейское море"
 PROV2830:0 "Эритрейское море"
 PROV2831:0 "Эритрейское море"
 PROV2832:0 "Эритрейское море"
 PROV2833:0 "Эритрейское море"
 PROV2834:0 "Эритрейское море"
 PROV2835:0 "Эритрейское море"
 PROV2836:0 "Эритрейское море"
 PROV2837:0 "Эритрейское море"
 PROV2838:0 "Эритрейское море"
 PROV2839:0 "Эритрейское море"
 PROV2840:0 "Эритрейское море"
 PROV2841:0 "Эритрейское море"
 PROV2842:0 "Эритрейское море"
 PROV2843:0 "Эритрейское море"
 PROV2844:0 "Эритрейское море"
 PROV2845:0 "Эритрейское море"
 PROV2846:0 "Эритрейское море"
 PROV2847:0 "Эритрейское море"
 PROV2848:0 "Эритрейское море"
 PROV2849:0 "Эритрейское море"
 PROV2850:0 "Эритрейское море"
 PROV2851:0 "Эритрейское море"
 PROV2852:0 "Эритрейское море"
 PROV2853:0 "Эритрейское море"
 PROV2854:0 "Качский Ранн"
 PROV2855:0 "Качский Ранн"
 PROV2856:0 "Качский залив"
 PROV2857:0 "Эритрейское море"
 PROV2858:0 "Эритрейское море"
 PROV2859:0 "Эритрейское море"
 PROV2860:0 "Залив Миннагара"
 PROV2861:0 "Эритрейское море"
 PROV2862:0 "Эритрейское море"
 PROV2863:0 "Эритрейское море"
 PROV2864:0 "Эритрейское море"
 PROV2865:0 "Эритрейское море"
 PROV2866:0 "Эритрейское море"
 PROV2867:0 "Эритрейское море"
 PROV2868:0 "Эритрейское море"
 PROV2869:0 "Эритрейское море"
 PROV2870:0 "Эритрейское море"
 PROV2871:0 "Эритрейское море"
 PROV2872:0 "Эритрейское море"
 PROV2873:0 "Эритрейское море"
 PROV2874:0 "Эритрейское море"
 PROV2875:0 "Эритрейское море"
 PROV2876:0 "Эритрейское море"
 PROV2877:0 "Эритрейское море"
 PROV2878:0 "Эритрейское море"
 PROV2879:0 "Эритрейское море"
 PROV2880:0 "Эритрейское море"
 PROV2881:0 "Эритрейское море"
 PROV2882:0 "Эритрейское море"
 PROV2883:0 "Эритрейское море"
 PROV2884:0 "Эритрейское море"
