l_russian:
 useless_adjective_1:0 "бесполезный"
 ip_mon_48_martial_desc:0 "Эти предложения проистекают из их интереса к военным вопросам: первое касается качества наших методов подготовки, а второе — увеличения числа рекрутов."
 ip_mon_48_finesse_desc:0 "Эти предложения проистекают из их интереса к административным вопросам: первое касается эффективности сбора налогов, а второе — оптимизации методов строительства."
 ip_mon_48_charisma_desc:0 "Эти предложения проистекают из их интереса к вопросам, представляющим общественный интерес: первое касается поднятия духа наших людей, а второе — поглощения зависимых государств."
 ip_mon_48_zeal_desc:0 "Эти предложения проистекают из их интереса к религиозным вопросам: первое касается повышения авторитета жрецов, а второе ускорит переход в нашу веру религиозных меньшинств."
 get_battle_win_1:0 "проводит стремительную контратаку, отражая попытку вражеских разъездов захватить обоз и предотвращая панику в задних рядах, а затем преследует врагов до самого поля боя, где присоединяется к основной атаке, которую проводит [ROOT.GetCountry.GetRulerTitle] [ROOT.GetCountry.GetRuler.GetPraenomen]."
 get_battle_win_2:0 "принимает командование левым флангом армии, готовясь к полномасштабному наступлению, затем обращает противника в бегство и преследует его почти до вражеского обоза, после чего обращается за поддержкой (её предоставляет [ROOT.GetCountry.GetRulerTitle] [ROOT.GetCountry.GetRuler.GetPraenomen]) и наносит врагу сокрушительный удар с фланга."
 get_battle_win_3:0 "остаётся там же, где [ROOT.GetCountry.GetRuler.GetPraenomen], советуясь с [ROOT.GetCountry.GetRuler.GetHerHis] полководцами и наблюдая за ходом сражения, а затем бросается в самую гущу боя во главе элитной конницы."
 get_battle_loss_1:0 "пытается помешать вражескому разъезду захватить обоз, но — не в силах сдержать яростную атаку — спасается бегством туда, где в почти полном окружении уже находится [ROOT.GetCountry.GetRulerTitle]."
 get_battle_loss_2:0 "принимает командование левым флангом армии, но, несмотря на храброе сопротивление, не может сдержать яростный натиск противника. Левый фланг рассыпается, центру грозит окружение: всё это свидетельствует о разгроме [ROOT.GetCountry.GetAdjective]их войск."
 get_battle_loss_3:0 "старается быть там же, где и [ROOT.GetCountry.GetRuler.GetPraenomen], советуясь с [ROOT.GetCountry.GetRuler.GetHerHis] полководцами и наблюдая за ходом сражения, а затем бросается в самую гущу боя во главе элитной конницы."
 get_battle_injury_1:0 "получает шальную стрелу в пылу сражения."
 get_battle_injury_2:0 "вылетает из седла и получает несколько ударов."
 get_battle_injury_3:0 "падает под копыта коня и едва избегает гибели."
 get_battle_injury_4:0 "получает шальную стрелу в шею и погибает на месте."
 get_battle_injury_5:0 "вылетает из седла и погибает на поле боя в хаосе рукопашной схватки."
 get_battle_injury_6:0 "падает под копыта коня и погибает."
