l_russian:
 dhe_dde_pyrrhus.1.t:0 "Молосський ультиматум"
 dhe_dde_pyrrhus.19.at:0 "Епір зробить Сіракузи своєю #Y клієнтською державою#!, стане претендувати на всю Сицилію й оголосить війну Карфагену.\nВсе еллінські держави в Сицилії та Великій Греції отримають #G 50#! од. до думки про Епір."
 dhe_dde_pyrrhus.19.b:0 "Ця затія безнадійна. Але пропозиція втішна..."
 dhe_dde_pyrrhus.19.bt:0 "Епір претендуватиме на всі землі Сицилії."
 dhe_dde_pyrrhus.20.t:0 "Чудова людина"
 dhe_dde_pyrrhus.20.desc:0 "Війна з державою [SCOPE.sC(''pyrrhus_first_country_scope'').GetName] закінчена, і на знак доброї волі і як гарант дотримання умов перемир'я було вирішено обмінятися заручниками.\n\nОдним з таких заручників виявився Пірр Епірський, далекий родич Александра Македонського і нащадок самого Ахілла.\n\nВін хоче повернути собі трон Епіру, якого недавно позбувся, і шукає підтримки."
 dhe_dde_pyrrhus.20.a:0 "Ми поглянемо, як розвиватимуться події..."
 dhe_dde_pyrrhus.20.at:0 "Хай перед поверненням до Епір Пірр недовго побуде при нашому дворі."
 dhe_dde_pyrrhus.21.t:0 "Претензії на Сицилію"
 dhe_dde_pyrrhus.21.desc_1:0 "Нам повідомили, що сіракузці подумували просити нашої допомоги у війні з Карфагеном, оскільки ми затвердилися у Великій Греції й нас цікавлять сицилійські колонії.\n\nПроте в результаті вони вважали за краще продовжити свою безнадійну війну без нас. Втім, ми все ще можемо скористатися їхньою нинішньою слабкістю у своїх цілях..."
 dhe_dde_pyrrhus.21.desc_2:0 "Нам повідомили, що сіракузці подумували просити нашої допомоги у війні з Карфагеном — їх до того спонукали наші шлюбні узи й наш інтерес до Великої Греції.\n\nПроте в результаті вони вважали за краще продовжити свою безнадійну війну без нас. Втім, ми все ще можемо скористатися їхньою нинішньою слабкістю у своїх цілях..."
 dhe_dde_pyrrhus.21.a:0 "Сицилія буде наша."
 dhe_dde_pyrrhus.21.at:0 "Епір претендуватиме на всі землі Сицилії."
 dhe_dde_pyrrhus.22.t:0 "Пірр під захистом держави [SCOPE.sC('pyrrhus_first_country_scope').GetName]"
 dhe_dde_pyrrhus.22.desc_1:0 "Коли молосси повалили з престолу Пірра, почалися безлади, і врешті-решт престол зайняв [SCOPE.sChar(''neoptolemus'').GetName]. Пірр же за допомогою придворних і слуг встиг втекти з Епіру раніше, ніж його змогли розшукати наші солдати.\n\nДо нас дійшли чутки, що йому знову запропонували притулок в Тавлантії. Там він, без сумніву, вже виношує плани, як повернути трон."
 dhe_dde_pyrrhus.22.desc_2:0 "Коли молосси повалили з престолу Пірра, почалися безлади, і врешті-решт престол зайняв [SCOPE.sChar(''neoptolemus'').GetName]. Пірр же за допомогою придворних і слуг встиг втекти з Епіру раніше, ніж його змогли розшукати наші солдати.\n\nДо нас дійшли відомості, що Пірру запропонував притулок діадох [SCOPE.sC(''pyrrhus_first_country_scope'').GetRuler.GetName], з яким Пірр поріднився через шлюб своєї сестри. Мерзотник, без сумніву, вже виношує плани, як з [SCOPE.sC(''pyrrhus_first_country_scope'').GetAdjective]ою допомогою поверне трон собі."
 dhe_dde_pyrrhus.22.desc_3:0 "Коли молосси повалили з престолу Пірра, почалися безлади, і врешті-решт престол зайняв [SCOPE.sChar(''neoptolemus'').GetName]. Пірр же за допомогою придворних і слуг встиг втекти з Епіру раніше, ніж його змогли розшукати наші солдати.\n\nДо нас дійшли відомості, що Пірру запропонував притулок діадох [SCOPE.sC(''pyrrhus_first_country_scope'').GetRuler.GetName]. Отже, тепер Пірр збирається повернути собі трон, скориставшись [SCOPE.sC(''pyrrhus_first_country_scope'').GetAdjective]ою підтримкою."
 dhe_dde_pyrrhus.22.desc_4:0 "Колі молосси повалили з престолу Пірра, почаліся безладі і врешті-решт престол зайняв [SCOPE.sChar(''''neoptolemus'''').GetName]. Пірр же за допомогою прідворніх і слуг встіг втекті з Епіру раніше, ніж його змоглі розшукаті наші солдаті.\n\nДо нас дійшли вісті, що Пірру запропонував притулок [SCOPE.sC(''pyrrhus_first_country_scope'').GetRuler.GetName] з держави [SCOPE.sC(''pyrrhus_first_country_scope'').GetName], і тепер Пірр, без сумніву, вже виношує плани по захвату трону з [SCOPE.sC(''pyrrhus_first_country_scope'').GetAdjective]ою допомогою."
 dhe_dde_pyrrhus.22.a:0 "Хай собі біжить."
 dhe_dde_pyrrhus.23.t:0 "Обмін на Пірра-заручника"
 dhe_dde_pyrrhus.23.desc:0 "До нас дійшли чутки, що Пірр, який претендував раніше на трон, став простим пішаком в політичних іграх діадохів.\n\nПісля конфлікту з його [SCOPE.sC(''pyrrhus_first_country_scope'').GetAdjective]ними заступниками, його відправили до держави [SCOPE.sC(''pyrrhus_second_country_scope'').GetName] як заручника."
 dhe_dde_pyrrhus.23.a:0 "Тепер йому не виплутатися..."
 dhe_dde_pyrrhus.25.t:0 "Фракійська відповідь"
 dhe_dde_pyrrhus.25.desc:0 "Наші посли у Фракії повернулися з новинами: вони і [SCOPE.sChar(''dhe_dde_pyrrhus_thrace_scope'').GetName] порозумілися.\n\nСхоже, вони так само не довіряють македонцям, як і ми. Значить, союз між нами сповна можливий..."
 dhe_dde_pyrrhus.25.a:0 "Прекрасно."
 dhe_dde_pyrrhus.26.t:0 "Фракійська відповідь"
 dhe_dde_pyrrhus.26.desc:0 "Наші посли у Фракії повернулися з новинами: вони так і не змогли домовитися.\n\nСхоже, що у фракійців є свої плани відносно македонців..."
 dhe_dde_pyrrhus.26.a:0 "Ну хоч спробували..."
 dhe_dde_pyrrhus.27.t:0 "Пірр досягає повноліття"
 dhe_dde_pyrrhus.27.desc:0 "Скинутий цар Пірр досяг віку, при якому його здібності можуть виявитися нам корисні. Він не збирається залишатися з нами навіки, проте він готовий застосувати свої незвичайні військові та інші таланти нам на користь, поки користується нашою гостинністю."
 dhe_dde_pyrrhus.27.a:0 "Раз користується нашою гостинністю, хай виграє для нас декілька битв..."
 dhe_dde_pyrrhus.28.t:0 "Пірр приймає пропозицію"
 dhe_dde_pyrrhus.28.desc:0 "До нас дійшли чутки, що цар Пірр прийняв нашу пропозицію про шлюбний союз і [SCOPE.sChar(''pyrrhus_betrothed_scope'').GetName] стане його дружиною.\n\n[SCOPE.sChar(''pyrrhus_betrothed_scope'').GetName] вже відправилася до Епіру до нового чоловіка, а з нею — і обіцянки щедрого посагу. Сподіватимемося, що від цього союзу виграють всі сторони..."
 dhe_dde_pyrrhus.28.a:0 "Чудово."
 dhe_dde_pyrrhus.29.t:0 "Пірр відхиляє пропозицію"
 dhe_dde_pyrrhus.29.desc_1:0 "До нас дійшли чутки, що цар Пірр відкинув нашу пропозицію про шлюбний союз, і [SCOPE.sChar(''pyrrhus_betrothed_scope'').GetName] не буде його дружиною. Схоже, Пірр не бажає розлучатися зі своєю нинішньою дружиною.\n\nТепер [SCOPE.sChar('pyrrhus_betrothed_scope').GetName] повинна вийти за когось іншого — і знайти нового претендента належить саме нам..." 
 dhe_dde_pyrrhus.29.desc_2:0 "До нас дійшли вісті, що цар Пірр відкинув нашу пропозицію про шлюбний союз, і [SCOPE.sChar(''pyrrhus_betrothed_scope'').GetName] не буде його дружиною. Схоже, Пірра ця пропозиція не спокусила, хоча він не одружений.\n\nТепер [SCOPE.sChar(''pyrrhus_betrothed_scope'').GetName] повинна вийти за когось іншого — і знайти нового претендента належить саме нам..."
 dhe_dde_pyrrhus.29.a:0 "Ну хоч спробували..."
 dhe_dde_pyrrhus.30.t:0 "Пірр в Сицилії"
 dhe_dde_pyrrhus.30.desc_1:0 "До нас дійшли чутки, що цар Пірр Епірський прийняв наше прохання про допомогу! Ми нарекли Пірра царем Сіцілії та фактично стали його підданими, зате він став на нашу сторону у війні з Карфагеном!\nНехай посміхнеться нам Ніка!"
 dhe_dde_pyrrhus.30.desc_2:0 "До нас дійшли чутки, що цар Пірр Епірський по намові сіракузців був оголошений царем Сицилії, щоб захистити її від нашого вторгнення.\nСіракузи схилилися перед Епіром, і всі грецькі держави Південної Італії чекають, що Пірр допоможе їм зберегти незалежність."
 dhe_dde_pyrrhus.30.desc_3:0 "До нас дійшли чутки, що цар Пірр Епірський по намові сіракузців був оголошений царем Сицилії, щоб захистити її від вторгнення Карфагену.\nСіракузи схилилися перед Епіром, і всі грецькі держави Південної Італії чекають, що Пірр допоможе їм зберегти незалежність."
 dhe_dde_pyrrhus.30.a:0 "Сподіватимемося, що він скоро з'явиться..."
 dhe_dde_pyrrhus.30.b:0 "Ці дурні проміняли одного загарбника на іншого."
 dhe_dde_pyrrhus.30.c:0 "Цікаво..."
 dhe_dde_pyrrhus.30.tooltip:0 "Отримавши можливість претендувати на всю Сицилію, Епір оголосив війну Карфагену.\nВсі грецькі держави в Сицилії й Великій Греції отримали #G 50#! до думки про Епір."
 dhe_dde_pyrrhus.31.t:0 "Пірр відмовляється"
 dhe_dde_pyrrhus.31.desc:0 "Ми отримали відповідь від царя Пірра Епірського — він відмовився надавати нам допомогу в обмін на наше підданство...\n\nКрім того, розповівши цьому пройдисвітові про свої біди, ми, можливо, підштовхнули його скористатися нашою слабкістю. Без сумніву, у нього є плани на всю Сицилію."
 dhe_dde_pyrrhus.31.a:0 "Ну хоч спробували..."
 dhe_dde_pyrrhus.32.t:0 "Італійські амбіції"
 dhe_dde_pyrrhus.32.desc:0 "Багато років тому цар Епіру Александр I, двоюрідний дід царя Пірра і брат Олімпіади Македонської, вторгся на Тіррентське побережжя Італії, щоб завоювати півострів. Натхненний завоюваннями свого племінника Александра Македонського на сході, він провів чудову кампанію проти луканів і бруттіїв на заході, допомагаючи грецькій колонії Тарент.\n\nАлександр I майже досяг своєї мети, анексувавши Сипій, Гераклею і Теріну і навіть уклавши союз із Римом. Проте доля вирвала у нього перемогу з рук в останній момент, і в результаті зради цар вступив в нерівний бій проти луканів. Александр I загинув, нарікши перед смертю на те, що його благословенний племінник «воював проти жінок», тоді як він протистоїть мужам.\n\nУ подальші роки Епір втратив свої італійські володіння, але тепер Пірр, можливо, отримає шанс виконати призначення Ахіллового роду, що дав світу найбільших полководців-завойовників."
 dhe_dde_pyrrhus.32.a:0 "Тюхе благоволить сміливим."
 dhe_dde_pyrrhus.32.at:0 "Епір отримає можливість пред'явити претензії на всі землі в регіоні #Y Велика Греція#!."
 dhe_dde_pyrrhus_molossians_angered_cm:0 "Молосси розгнівані"
 desc_dhe_dde_pyrrhus_molossians_angered_cm:0 "Відмовившись змістити царя Пірра, ми розсердили могутнє плем'я молоссів, чия підтримка дуже важлива для легітимності епірських правителів."
 dhe_dde_pyrrhus_readiness_for_war_cm:0 "Готовність до війни"
 desc_dhe_dde_pyrrhus_readiness_for_war_cm:0 "Неминучий конфлікт з Карфагеном змусив нас підготувати до війни всі свої війська."
 dhe_dde_pyrrhus_blessings_of_dodona_cm:0 "Благословення Додони"
 desc_dhe_dde_pyrrhus_blessings_of_dodona_cm:0 "Відновивши Додонський оракул, ми здобули прихильність богів-олімпійців."
 dhe_dde_pyrrhus_dodona_boon_cm:0 "Любов богів"
 desc_dhe_dde_pyrrhus_dodona_boon_cm:0 "Епіроти шанують богів-олімпійців з новою силою, і боги помітили подібне завзяття."
 dhe_dde_pyrrhus_dodona_pm:0 "Додонський оракул"
 desc_dhe_dde_pyrrhus_dodona_pm:0 "Відновивши Додонський оракул і влаштувавши ігри та свята, ми залучили в Додону безліч гостей та торговців."
 dhe_dde_pyrrhus_angered_macedon_op:0 "Підтримка Пірра"
 dhe_dde_pyrrhus_lysimachus_op:0 "Інтереси родів Еакіда й Алкімаха"
 dhe_dde_pyrrhus_syracuse_op:0 "Шлюбний союз між родами Еакіда й Агафокла"
 dhe_dde_pyrrhus_deposed_pyrrhus_op:0 "Цар Пірр зміщений"
 dhe_dde_pyrrhus_intervention_op:0 "Втручання для захисту від сусідів-агресорів"
 dhe_dde_pyrrhus_refused_syracuse_op:0 "У допомозі відмовлено"
 dhe_dde_pyrrhus_no_support_op:0 "У підтримці відмовлено"
 dhe_dde_pyrrhus_supports_pyrrhus_op:0 "Підтримує Пірра"
 dhe_dde_pyrrhus_dodona_decision:0 "Вдосконалити додонського оракула"
 dhe_dde_pyrrhus_dodona_decision_desc:0 "Додонський оракул — найстаріший на всьому еллінському світі, колись був одним з найважливіших релігійних центрів Еллади. Храмовий комплекс споруджено довкола древнього священного дуба зевса Найоса, чиє святилище розташоване над священним джерелом. З роками комплекс занепав, його затьмарили знаменитіші оракули.\nМожливо, якщо ми побудуємо амфітеатр, відремонтуємо храм Зевса і станемо влаштовувати в Додоні регулярні свята, цей храмовий комплекс знов стане одним з улюбленіших жител богів, яким і має бути по праву."
 dhe_dde_pyrrhus_dodona_decision_tooltip:0 "Починається відновлення Додони."
