l_russian:
 archimedes_principle:0 "Закон Архимеда"
 agressive_expansion_impact_inv_3_desc:0 "Каков бы ни был истинный повод для войны, заявив о том, что слабейшие народы не могут защищаться сами и потому нуждаются в нашем благодетельном руководстве, мы добьемся признания на международной арене."
 agressive_expansion_impact_inv_4:0 "Военные послы"
 agressive_expansion_impact_inv_4_desc:0 "Присвоив нашим дипломатам военное звание, мы не только впечатлим врагов, но и четко покажем, что помимо пряника у нас есть и кнут."
 agressive_expansion_impact_inv_5:0 "Божественный мандат"
 agressive_expansion_impact_inv_5_desc:0 "Если наши соседи будут знать о том, что мы верим в свое божественное право на завоевания, они вряд ли удивятся, когда мы решим им воспользоваться..."
 tyranny_inv_1:0 "Официальные ораторы"
 tyranny_inv_1_desc:0 "Поручив объявлять о наших постановлениях, законах и решениях умелым ораторам, мы снизим уровень недовольства среди нашего населения."
 tyranny_inv_3:0 "Наемные одобряющие"
 tyranny_inv_3_desc:0 "Пусть это и старый трюк, но если с толпой перемешаются подкупленные одобряющие, то мы скорее обеспечим поддержку наших наименее популярных решений."
 tyranny_inv_4:0 "Торжественное шествие"
 tyranny_inv_4_desc:0 "Всякий раз, когда наш славный предводитель входит в другой город, мы должны объявлять его появление трубами и торжественной церемонией. Пусть все видят величие нашего государства."
 tyranny_inv_5:0 "Хирономия"
 tyranny_inv_5_desc:0 "Традиционная жестикуляция профессиональных риторов придаст нашим словам вес и убедительность, которых им ранее недоставало."
 tyranny_inv_2:0 "Иерархия ответственности"
 tyranny_inv_2_desc:0 "Мы должны найти, на кого можно спихнуть всю вину, если вдруг наши решения не сработают."
 monthly_character_loyalty_inv_1:0 "Законное покровительство"
 monthly_character_loyalty_inv_1_desc:0 "Система легального покровительства укрепит иерархию в структурах власти нашего государства."
 monthly_character_loyalty_inv_2:0 "Признанные семейства"
 monthly_character_loyalty_inv_2_desc:0 "Заявив о том, что некоторые семейства играли важную роль в истории нашего государства, мы обеспечим некоторое уважение среди знати."
 monthly_character_loyalty_inv_3:0 "Административное покровительство"
 monthly_character_loyalty_inv_3_desc:0 "Позволив нашим правителям устанавливать личные связи в виде покровительства подчиненным, мы не только увеличим верность этих подчиненных, но и укрепим систему в целом."
 monthly_character_loyalty_inv_4:0 "Попечительство"
 monthly_character_loyalty_inv_4_desc:0 "Защита, предоставляемая институтом попечительства, обеспечивает законную и юридическую безопасность. Мы должны поощрять такое поведение среди своей ключевой элиты."
 monthly_character_loyalty_inv_5:0 "Военное покровительство"
 monthly_character_loyalty_inv_5_desc:0 "Отношения между полководцами, солдатами и ветеранами следует расширить за счет официальной системы покровительства. Это обеспечит дальнейшее распространение иерархии в нашем обществе."
 agressive_expansion_monthly_decay_inv_1:0 "Равноправное поглощение"
 agressive_expansion_monthly_decay_inv_1_desc:0 "Предоставление прав завоеванным народам — важный первый шаг на пути к поглощению; это ослабит гнев тех, кто недоволен нашими победами."
 agressive_expansion_monthly_decay_inv_2:0 "Мандат местной администрации"
 agressive_expansion_monthly_decay_inv_2_desc:0 "После свержения центрального правительства завоеванных стран мы должны сохранить местную систему управления. В конце концов, местные правители знают свой народ лучше нас."
 agressive_expansion_monthly_decay_inv_3:0 "Постепенное экономическое поглощение"
 agressive_expansion_monthly_decay_inv_3_desc:0 "Требовать полной уплаты налогов в покоренных землях — значит увеличить вероятность беспорядков и восстаний. Мы должны облагать их поборами постепенно."
 agressive_expansion_monthly_decay_inv_4:0 "Клятва верности"
 agressive_expansion_monthly_decay_inv_4_desc:0 "Пусть это и кажется незначительным жестом, но потребовав клятву верности от администрации покоренных земель, мы придадим законность нашему завоеванию в глазах соперников."
 agressive_expansion_monthly_decay_inv_5:0 "Дипломатические извинения"
 agressive_expansion_monthly_decay_inv_5_desc:0 "Если держать наших послов и дипломатов в курсе принятых нами решений, они смогут вовремя смягчать гнев соперников."
 tribute_income_modifier_inv_1:0 "Администрация данников"
 tribute_income_modifier_inv_1_desc:0 "Пора покончить с краткосрочными и постоянно меняющимися сделками с нашими данниками и принять формальное письменное соглашение, где в понятной форме будут указаны обязанности сторон."
 tribute_income_modifier_inv_2:0 "Пропорциональные соглашения"
 tribute_income_modifier_inv_2_desc:0 "Часть наших менее цивилизованных данников не имеют денег и не могут исполнять свои обязательства по соглашению. Нужно принимать от них равноценные товары."
 tribute_income_modifier_inv_3:0 "Ежегодные взносы"
 tribute_income_modifier_inv_3_desc:0 "Давно миновали дни, когда мы набивали казну сундуками с данью. Для ведения строгой отчетности нужно убедить данников производить регулярные выплаты."
 tribute_income_modifier_inv_4:0 "Легаты среди данников"
 tribute_income_modifier_inv_4_desc:0 "Некоторые из отдаленных зависимых народов не горят желанием платить дань в полном объеме. Учредив должность посланника, который будет постоянно напоминать этим дикарям о наших возможных ответных мерах, мы проследим за тем, чтобы они охотнее выполняли свои обязательства."
 tribute_income_modifier_inv_5:0 "Статус клиентского государства"
 tribute_income_modifier_inv_5_desc:0 "Формальное признание автономии наших государств-данников — небольшая цена за бесперебойное поступление выплат от них."
 diplomatic_relations_inv:0 "Встречи на высшем уровне"
 diplomatic_relations_inv_desc:0 "Регулярные встречи с представителями стран, равных нам по могуществу, дают великолепную возможность завести новых друзей... или врагов."
 hold_triumph_cost_modifier_inv:0 "Триумфальные монеты"
 hold_triumph_cost_modifier_inv_desc:0 "Каждый наш триумф следует сопровождать выпуском новых ценных монет исключительно ради престижа и чести. Так наша слава воссияет в веках!"
 smear_character_cost_modifier_inv:0 "Городские глашатаи"
 smear_character_cost_modifier_inv_desc:0 "Нанятые нами опытные ораторы помогут ненавязчиво распространять правду о тех, кому хватило коварства действовать против наших интересов."
 bribe_character_cost_modifier_inv:0 "Иммунитет для избранных"
 bribe_character_cost_modifier_inv_desc:0 "Законы, разрешающие преследовать представителей нашего правящего класса, очень сильно затрудняют управление. Нужно внести поправки с учетом этого нового принципа."
 assassinate_attempt_cost_modifier_inv:0 "Сомнительные связи"
 assassinate_attempt_cost_modifier_inv_desc:0 "Укрепление связей с теневыми организациями и группами, которые охотно делают грязную работу за приемлемую цену, — это печальное, но необходимое занятие."
 inspire_disloyalty_cost_modifier_inv:0 "Шпионаж"
 inspire_disloyalty_cost_modifier_inv_desc:0 "Сеть сочувствующих нам лиц в других государствах поспособствует переменам за пределами наших границ."
 recruit_general_inv:0 "Стимулы для командиров"
 recruit_general_inv_desc:0 "Ожидать, что полководцы будут сражаться лишь за славу нашей страны, явно недостаточно. Нужно гарантировать им право на трофеи, имущество и должности в покоренных землях."
 endorse_party_inv:0 "Расписание работы сената"
 endorse_party_inv_desc:0 "Введение регулярных часов работы сената даст намного больше возможностей в привлечении сомневающихся на свою сторону."
 fabricate_claim_cost_modifier_inv:0 "Агрессивная защита"
 fabricate_claim_cost_modifier_inv_desc:0 "Иногда единственное нужное нам оправдание — это то, что только мы и можем предложить защиту."
 discipline_inv_1:0 "Беотийский шлем"
 discipline_inv_1_desc:0 "Беотийский шлем, который носил сам Александр, позволяет хорошо видеть всё, что происходит вокруг, и вместе с тем надежно защищает череп."
 discipline_inv_2:0 "Манипулярный легион"
 discipline_inv_2_desc:0 "Это формирование, зародившееся где-то на юге Италии, состояло из «манипул». Каждая манипула включала в себя 120 человек, которые взаимодействовали как единое целое с любым количеством дополнительных манипул."
 discipline_inv_3:0 "Льготы для ветеранов"
 discipline_inv_3_desc:0 "Различные льготы для ветеранов, желающих вновь послужить нам, намного увеличит боевую мощь наших войск."
 discipline_inv_4:0 "Повышение за заслуги"
 discipline_inv_4_desc:0 "Повышение в зависимости от боевых заслуг побудит каждого воина сражаться как можно лучше."
 discipline_inv_5:0 "Когорты"
 discipline_inv_5_desc:0 "После реформ Мария основной единицей римского войска стала когорта. Каждое подразделение легиона было увеличено до 480 солдат, включая вспомогательных специалистов."
 global_supply_limit_modifier_inv_1:0 "Супернумерарии"
 global_supply_limit_modifier_inv_1_desc:0 "Вспомогательный отряд супернумерариев действовал как подкрепление, а также выполнял дополнительные обязанности вроде доставки сообщений."
 global_supply_limit_modifier_inv_2:0 "Сезон боевых действий"
 global_supply_limit_modifier_inv_2_desc:0 "Во время войны крайне важно знать погоду с климатом и их сезонные изменения. Учитывая эти условия, мы лучше подготовим свои войска к сражениям."
 global_supply_limit_modifier_inv_3:0 "Логистическое подразделение"
 global_supply_limit_modifier_inv_3_desc:0 "Для повышения эффективности нашим разросшимся войскам требуется особое подразделение по снабжению и логистике."
 global_supply_limit_modifier_inv_4:0 "Задержка обоза"
 global_supply_limit_modifier_inv_4_desc:0 "Немало известных полководцев было разбито после того, как противник захватил их обоз. Держа обоз дальше от поля боя, чем принято, мы, возможно, убережемся от подобных неприятностей."
 global_supply_limit_modifier_inv_5:0 "Центральный резерв"
 global_supply_limit_modifier_inv_5_desc:0 "Центральный склад, где будет храниться всё необходимое военное снаряжение, поможет нам поддерживать боеспособность наших войск."
 global_defensive_inv_1:0 "Пентаспасты"
 global_defensive_inv_1_desc:0 "Пентаспасты — новейшие греческие подъемные машины, которые идеально подходят для возведения оборонительных стен, зданий и крепостей."
 global_defensive_inv_2:0 "Свод и купол"
 global_defensive_inv_2_desc:0 "Римляне первыми стали широко использовать арки в строительстве мостов, что позволяло быстро выполнять огромные задачи."
 global_defensive_inv_3:0 "Укрепленные лагеря"
 global_defensive_inv_3_desc:0 "Мы должны обучить солдат искусству возведения укрепленных лагерей только при помощи доступных местных материалов."
 global_defensive_inv_4:0 "Траншеи"
 global_defensive_inv_4_desc:0 "Когда наши войска занимают какую-то местность надолго, им лучше использовать это время на создание траншей, замедляющих продвижение потенциального врага."
 global_defensive_inv_5:0 "Полиспаст"
 global_defensive_inv_5_desc:0 "Это подъемное устройство, вариант более ранней греческой модели, позволяет перемещать большие грузы и усиливать укрепления."
 siege_speed_inv_1:0 "Необычные снаряды"
 siege_speed_inv_1_desc:0 "В античности иногда применялись необычные снаряды для метательных машин, такие как змеи, отсеченные части тел и зажигательные смеси, чтобы деморализовать или разозлить врага."
 siege_speed_inv_2:0 "Осадные башни"
 siege_speed_inv_2_desc:0 "Во время осады Родоса Деметрий использовал высокие осадные механизмы, пытаясь взять стены города штурмом."
 siege_speed_inv_3:0 "Окружение"
 siege_speed_inv_3_desc:0 "Практика окружения укрепленного места второстепенными оборонительными сооружениями позволяла полностью отрезать его от окружающего мира."
 siege_speed_inv_4:0 "Контравалация"
 siege_speed_inv_4_desc:0 "Эта тактика, продолжение циркумвалации, подразумевала сооружение еще одного кольца, направленного в сторону от окруженной крепости, чтобы вражеские армии не смогли прорвать осаду."
 siege_speed_inv_5:0 "Баллисты"
 siege_speed_inv_5_desc:0 "Подобно огромным арбалетам баллисты метали снаряды с большой кинетической энергией, уничтожая стены, солдат и боевой дух противника."
 global_start_experience_inv_1:0 "Обучение в процессе"
 global_start_experience_inv_1_desc:0 "Говорят, лучше всего учиться сразу на практике. Мы ожидаем, что наши новобранцы быстро обучатся сражаться с мечом в руках. Ну или погибнут."
 global_start_experience_inv_2:0 "Основная тренировка"
 global_start_experience_inv_2_desc:0 "Самая основная тренировка поможет нашим новобранцам по крайней мере пережить несколько первых боев."
 global_start_experience_inv_3:0 "Стандарты призыва"
 global_start_experience_inv_3_desc:0 "Мы должны призывать в войска тех, кто умеет постоять за себя в бою."
 global_start_experience_inv_4:0 "Элитные стандарты призыва"
 global_start_experience_inv_4_desc:0 "Сейчас у нас столько ветеранов, что мы можем набирать по крайней мере часть войск только из них."
 global_start_experience_inv_5:0 "Междисциплинарная тренировка"
 global_start_experience_inv_5_desc:0 "Обучая новобранцев основам всевозможных боевых дисциплин, мы проследим за тем, чтобы бойцы знали, как лучше всего действовать в различных ситуациях на поле боя."
 trireme_discipline_inv_1:0 "Профессиональные матросы"
 trireme_discipline_inv_1_desc:0 "Практика найма профессиональных матросов укрепит мощь нашего флота."
 trireme_discipline_inv_2:0 "Центурия"
 trireme_discipline_inv_2_desc:0 "Организовав на каждом судне командную группу, мы четко отделим простых гребцов от тактической элиты."
 trireme_discipline_inv_3:0 "Эскадры"
 trireme_discipline_inv_3_desc:0 "Приписав каждый корабль к эскадре, мы проследим за тем, чтобы корабли действовали в бою как единое целое."
 trireme_discipline_inv_4:0 "Укрепленные носы"
 trireme_discipline_inv_4_desc:0 "Развитие металлургии позволило нам укрепить корабли и превратить их в своего рода тараны."
 trireme_discipline_inv_5:0 "Гарпакс"
 trireme_discipline_inv_5_desc:0 "Эти корабельные катапульты метали крюки, помогавшие взять врага на абордаж и уничтожить вражеское судно."
 hostile_attrition_inv:0 "Выжженная земля"
 hostile_attrition_inv_desc:0 "Зная о том, что враг скоро вторгнется в наши земли, мы можем забрать потенциальные припасы или попросту их уничтожить."
 army_maintenance_cost_inv_1:0 "Казначеи"
 army_maintenance_cost_inv_1_desc:0 "Поручив заниматься вопросами выплаты жалования умным и неподкупным людям, мы сможем сэкономить на удивлением много золота."
 army_maintenance_cost_inv_2:0 "Льготы после отставки"
 army_maintenance_cost_inv_2_desc:0 "Разделив жалование солдатам на собственно выплату денег и такие льготы, как выдача участка земли после отставки, мы получим прибыль хотя бы от того, что многие не доживут до этого."
 navy_maintenance_cost_inv_1:0 "Галерные рабы"
 navy_maintenance_cost_inv_1_desc:0 "Многие экипажи продолжают комплектоваться из профессиональных гребцов, но при необходимости можно сэкономить и привлечь галерных рабов."
 navy_maintenance_cost_inv_2:0 "Почетная отставка"
 navy_maintenance_cost_inv_2_desc:0 "Распорядившись так, чтобы моряки получали значительную часть жалования после отставки, мы сэкономим на тех, кто не доживет до этого..."
 land_unit_attrition_inv:0 "Военные врачи"
 land_unit_attrition_inv_desc:0 "Организовав в действующих войсках небольшое медицинское подразделение, мы сократим потери, неизбежно возникающие в таких больших отрядах."
 naval_unit_attrition_inv:0 "Корабельный врач"
 naval_unit_attrition_inv_desc:0 "Если на каждом корабле будет хотя бы один член команды, обученный искусству врачевания, мы сможем избежать многих потерь, неизбежно возникающих в море."
 global_ship_recruit_speed_inv:0 "Шаблонная конструкция"
 global_ship_recruit_speed_inv_desc:0 "Установив четкие стандарты по строительству кораблей, мы наверняка увеличим скорость работы наших верфей."
 global_cohort_recruit_speed_inv:0 "Профессиональная подготовка"
 global_cohort_recruit_speed_inv_desc:0 "Положившись только на самых опытных наставников, мы сократим время для качественной подготовки бойцов."
 army_movement_speed_inv:0 "Быстрый марш"
 army_movement_speed_inv_desc:0 "Прошли те дни, когда разрозненные отряды солдат бродили от одного места к другому. Марш-бросок в организованных колоннах сэкономит немало времени."
 navy_movement_speed_inv:0 "Латинские паруса"
 navy_movement_speed_inv_desc:0 "Метод крепления парусов особой формы позволяет кораблю идти под крутым углом к ветру и стать намного маневреннее."
 war_score_cost_inv_1:0 "Повод для войны"
 war_score_cost_inv_1_desc:0 "Формулировка справедливого повода к войне очень важна, чтобы выторговать выгодные условия сдачи противника."
 war_score_cost_inv_2:0 "Военная пропаганда"
 war_score_cost_inv_2_desc:0 "Распространив в народе уверенность в том, что наше дело — правое, мы обеспечим себе сильную позицию в переговорах."
 war_score_cost_inv_3:0 "Символическая победа"
 war_score_cost_inv_3_desc:0 "Вынудив побежденных соперников склониться перед нами, мы утвердили свое превосходство. После этого уже никто не осмелится требовать у нас большего."
 siege_engineers_inv_1:0 "Подкоп"
 siege_engineers_inv_1_desc:0 "Под вражескими укреплениями можно прокладывать длинные тоннели — вроде тех, что, как говорят, использовались при осаде Вей. Тоннели позволят нам пробраться под вражескими стенами или даже повредить их."
 siege_engineers_inv_2:0 "Морские пути снабжения"
 siege_engineers_inv_2_desc:0 "Осады прибрежных городов давались нам особенно трудно — такие города могли получать все необходимое по морю. Организовав собственную систему патрулирования и пополнения запасов, мы перерезали пути снабжения врагам."
 siege_engineers_inv_3:0 "Скорпион"
 siege_engineers_inv_3_desc:0 "Скорпион — небольшой противопехотный вариант осадной баллисты, весьма эффективный в затяжных осадах."
 siege_engineers_inv_4:0 "Тормента"
 siege_engineers_inv_4_desc:0 "Все виды осадных орудий относятся к торментам. Как правило, они ведут стрельбу обычными или зажигательными снарядами, сея среди врагов разрушение и хаос."
 siege_engineers_inv_5:0 "Осадные насыпи"
 siege_engineers_inv_5_desc:0 "Ландшафт не всегда позволял использовать осадные башни и тараны. Чтобы подвести осадные машины к вражеским укреплениям, приходилось воздвигать специальные насыпи из земли или камней."
 siege_engineers_inv_6:0 "Мангонель"
 siege_engineers_inv_6_desc:0 "Говорят, что это орудие появилось в Китае и в последующие столетия распространялось все западнее. Мангонель мог метать снаряды гораздо дальше всех прочих осадных машин и, без сомнения, вселял ужас в защитников осаждаемых городов."
 monthly_wage_inv:0 "Расширенные финансовые полномочия"
 monthly_wage_inv_desc:0 "Квестор получал судебную власть и должен был вести надзор за финансовыми делами государства. Расширение полномочий квесторов поможет им бороться с финансовыми преступлениями и коррупцией."
 general_loyalty_inv:0 "Покровители военных"
 general_loyalty_inv_desc:0 "Если при каждом нанятом нами полководце будет несколько верных и уважаемых граждан, это поможет предотвратить злоупотребления властью."
 monthly_governor_inv:0 "Пропреторы и проконсулы"
 monthly_governor_inv_desc:0 "Разные губернаторы могли получать разную степень империя, с тем расчетом, чтобы каждый из них знал свое место. Так многообещающие политики понимали, что ждет их в будущем."
 experience_decay_inv_1:0 "Активная строевая подготовка"
 experience_decay_inv_1_desc:0 "Войскам на фронте очень поможет упорная строевая подготовка, проводимая почти до самых боев."
 experience_decay_inv_2:0 "Перевод ветеранов"
 experience_decay_inv_2_desc:0 "Проследив, чтобы опытных ветеранов назначали на службу вместе с новичками, мы будем знать, что их ценный опыт и знания перейдут дальше."
 subject_opinions_inv_1:0 "Официальное покровительство"
 subject_opinions_inv_1_desc:0 "Официальное покровительство над правителями наших подданных, аналогичное системе socii у римлян, поможет подбодрить зависимое государство."
 subject_opinions_inv_2:0 "Передача гражданства"
 subject_opinions_inv_2_desc:0 "Позволив гражданам зависимых от нас держав подавать прошение о гражданстве нашей державы, мы, возможно, снизим напряженность в наших отношениях. В конце концов, в просьбе всегда можно отказать..."
 subject_opinions_inv_3:0 "Представители союзников"
 subject_opinions_inv_3_desc:0 "Дав нашим главным подданным места в совете, мы позволим им более деятельно выражать свое мнение. Впрочем, прислушиваться к нему не обязательно."
 civic_roads_inv:0 "Громатики"
 civic_roads_inv_desc:0 "Громатики, или, как их еще называли, реечники — землемеры, следившие, помимо прочего, за прямизной дорог. Они отлично разбирались в своем деле и сильно повысили эффективность прокладки дорог."
 buy_military_tradition_inv:0 "Наука о материалах"
 buy_military_tradition_inv_desc:0 "Работа с бетоном, сталью, бронзой и даже деревом вносит свой вклад в развитие военной технологии. В частности, более прочная сталь позволяет применять нововведения, ранее считавшиеся невозможными. В Риме т. н. praefectus fabrum, начальник обоза, лично следил за распространением разных военных инноваций."
 global_goods_from_slaves_inv:0 "Рабская латифундия"
 global_goods_from_slaves_inv_desc:0 "Основание обширных плантаций, шахт и тому подобных участков, населенных в основном рабами и рабочими, значительно повышает эффективность сбора ресурсов. Большие плантации-латифундии часто распределялись после завоевания земель между предприимчивыми гражданами, армейскими командирами и теми, кто был готов заплатить за надел."
 assault_ability_inv:0 "Осадные лестницы"
 assault_ability_inv_desc:0 "Порой для штурма укрепленных позиций не обязательно использовать большие осадные машины: можно обойтись более простыми средствами. Взять достаточно людей и лестниц — и падет любая крепость. Величина потерь — другой вопрос."
 happiness_for_wrong_culture_modifier_inv_1:0 "Перегрины"
 happiness_for_wrong_culture_modifier_inv_1_desc:0 "Предоставив особый статус чужеземцам, мы можем признать их законными членами нашего государства."
 happiness_for_wrong_culture_modifier_inv_2:0 "Культурная судебная власть"
 happiness_for_wrong_culture_modifier_inv_2_desc:0 "Делегируйте судебную власть в провинции, чтобы ослабить нагрузку на наших губернаторов и угодить местному населению."
 happiness_for_wrong_culture_modifier_inv_3:0 "Прошение меньшинств"
 happiness_for_wrong_culture_modifier_inv_3_desc:0 "Позволив признанным лидерам меньшинств подавать прошения от имени их народа, мы дадим им хотя бы какую-то возможность выразить недовольство."
 happiness_for_wrong_group_modifier_inv_1:0 "Принятые ритуалы"
 happiness_for_wrong_group_modifier_inv_1_desc:0 "Составив список разрешённых религиозных обрядов для чужеземцев, обитающих в нашей державе, мы поможем нашим гостям чувствовать себя немного увереннее."
 happiness_for_wrong_group_modifier_inv_2:0 "Малый синкретизм"
 happiness_for_wrong_group_modifier_inv_2_desc:0 "Чем сильнее влияние иностранных верований в нашем растущем государстве, тем сильнее тревога их приверженцев. Принять и включить в свою систему малые верования — первый шаг на пути к согласию."
 happiness_for_wrong_group_modifier_inv_3:0 "Большой синкретизм"
 happiness_for_wrong_group_modifier_inv_3_desc:0 "Раньше все мы поклонялись одним богам, но теперь государство населено людьми самой разной веры. Нам пора внимательно изучить разные аспекты основных чужеземных религий и создать религиозную систему, в которой наша вера подойдёт всем."
 military_tech_investment_inv_1:0 "Военные ремесленники"
 military_tech_investment_inv_1_desc:0 "Гильдии ремесленников на службе у армии обеспечивают внедрение инноваций и новаторской мысли, способствующей прогрессу."
 military_tech_investment_inv_2:0 "Префект мастеровых"
 military_tech_investment_inv_2_desc:0 "Логистики римской армии следят за внедрением различных инноваций."
 civic_tech_investment_inv_1:0 "Улучшенное строительство стен"
 civic_tech_investment_inv_1_desc:0 "Потребность в больших защитных стенах сильно повлияла на развитие городской архитектуры. Каменщики применяли все более инновационные методы строительства опор и башен — и гражданские постройки тоже устремились в небеса."
 civic_tech_investment_inv_2:0 "Движение воды"
 civic_tech_investment_inv_2_desc:0 "Мельницы, акведуки и простые машины разрабатывались с учетом потребности в притоке воды в город. Технология водоснабжения помогала развивать другие инновации, что затем привело к возведению лесопилок и сложных систем ирригации."
 oratory_tech_investment_inv_1:0 "Данные переписи"
 oratory_tech_investment_inv_1_desc:0 "Говорят, что впервые переписи стали проводить в Древнем Египте времен Среднего Царства. В эпоху Римской республики переписи стали масштабнее и позволяли собрать ценные данные о национальности и прочих особенностях ее жителей."
 oratory_tech_investment_inv_2:0 "Перепись провинций"
 oratory_tech_investment_inv_2_desc:0 "Расширение переписи на далекие провинции государства значительно увеличивает область наших демографических познаний. Исходя из них, мы сможем планировать события гораздо лучше."
 religious_tech_investment_inv_1:0 "Запись традиций"
 religious_tech_investment_inv_1_desc:0 "Жрецы Республики (часто не получающие платы) обладают богатой традицией устных преданий. Легенды и истории передаются из поколения в поколение — и при этом неизбежно искажаются. Если не полагаться на память, а пользоваться более устойчивым носителем информации, наши традиции можно будет сохранить в веках."
 religious_tech_investment_inv_2:0 "Скрибы"
 religious_tech_investment_inv_2_desc:0 "Секретари-скрибы сопровождали магистратов и помогали вести записи. Также они участвовали в религиозных ритуалах и часто отвечали за запись молитв, таинств и клятв."
 mercenary_maintenance_cost_inv:0 "Прием на службу наемников"
 mercenary_maintenance_cost_inv_desc:0 "Если все узнают, что в своих завоеваниях мы регулярно задействуем солдат-наемников, те, кто хочет предложить свою службу, станут активнее соревноваться за нее."
 pirate_spawn_chance_inv_2:0 "Смена галса"
 pirate_spawn_chance_inv_2_desc:0 "Использование треугольных парусов привело к развитию нового вида морского манёвра, известного под названием «смена галса». Эта техника позволила кораблям плыть, пусть и не слишком эффективно, против ветра."
 pirate_spawn_chance_inv_1:0 "Навигация по звёздам"
 pirate_spawn_chance_inv_1_desc:0 "Звёзды издавна помогали морякам. С появлением простейших карт использование звёзд в навигации стало повсеместным и в результате привело к изобретению продвинутых устройств, помогавших следить за небесными телами и прогнозировать их перемещение."
 fort_maintenance_inv:0 "Бригады для текущего ремонта"
 fort_maintenance_inv_desc:0 "Бригады для поддержания в надлежащем состоянии городских зданий и сооружений повысят благосостояние наших городов, причем, относительно недорого."
 diplo_range_inv_2:0 "Стеганография"
 diplo_range_inv_2_desc:0 "Особая тайнопись для передачи секретных сообщений — искусство, которым должно овладеть каждое государство, желающее передавать дипломатические послания на большие расстояния. Придумав способы сокрытия информации, мы сможем безбоязненно вести переписку со своими послами в далеких землях."
 diplo_range_inv_3:0 "Шифр со сдвигом"
 diplo_range_inv_3_desc:0 "Задействовав в работе наших дипломатов и курьеров простое шифрование, мы сможем безопасно передавать информацию на большие расстояния."
 diplo_range_inv_4:0 "Квадрат Полибия"
 diplo_range_inv_4_desc:0 "Квадрат Полибия — элегантное решение для нужд шифрования и дешифровки сообщений. Безопасная передача секретной информации очень важна для дипломатической связи с отдаленными территориями."
 diplo_range_inv_1:0 "Шифрование"
 diplo_range_inv_1_desc:0 "Используя определенные заранее шифры, мы значительно упростим связь со своими послами и шпионами в дальних странах."
 fort_maintenance_cost:0 "Большие кирпичные заводы"
 fort_maintenance_cost_desc:0 "Если наши военные нужды будут обеспечиваться большими кирпичными заводами, мы снизим стоимость строительства и содержания своих крепостей."
 heavy_infantry_discipline_inv:0 "Фустуарий"
 heavy_infantry_discipline_inv_desc:0 "Ничто не вдохновляет солдата так, как страх позорной смерти."
 heavy_infantry_cost_inv:0 "Подмастерья кузнецов"
 heavy_infantry_cost_inv_desc:0 "Если у наших кузнецов будут помощники, они смогут работать эффективнее."
 heavy_cavalry_discipline_inv:0 "Скифские сёдла"
 heavy_cavalry_discipline_inv_desc:0 "Если дать всадникам хорошие сёдла, ездить верхом и править лошадьми в бою станет проще."
 blockade_efficiency_inv:0 "Опытные мореходы"
 blockade_efficiency_inv_desc:0 "Если мы хотим, чтобы нас уважали за доблесть на море, нам нужно нанять на службу самых опытных моряков, невзирая на их прошлое."
 cohort_reinforcement_speed_inv:0 "Улучшенные учебные площадки"
 cohort_reinforcement_speed_inv_desc:0 "Если у наших новобранцев будут специальные площадки для муштры и упражнений, мы значительно снизим время их подготовки к службе."
 retreat_delay_inv:0 "Тактическое отступление"
 retreat_delay_inv_desc:0 "Солдаты должны быть готовы начать тактическое отступление, чтобы затем вернуться с новыми силами."
 war_exhaustion_inv:0 "Дисциплина простых граждан"
 war_exhaustion_inv_desc:0 "Нашим гражданам непросто живётся во времена войны, однако они должны понять, что нам нужно защищать и расширять свои границы — так будет лучше для всех."
 global_monthly_state_loyalty_inv:0 "Сокращение контроля"
 global_monthly_state_loyalty_inv_desc:0 "Если передать часть управления провинциями из центра на места, мы повысим верность местных жителей государству."
 capital_trade_inv_3:0 "Торговые порты"
 capital_trade_inv_3_desc:0 "Если у нас будут большие причалы, порты и отдельные конторы для иноземных торговцев, мы сможем лучше управлять торговлей в стране."
 monthly_wage_inv_2:0 "Временная должность"
 monthly_wage_inv_2_desc:0 "Если ограничить время, которое можно занимать военную должность, у наших солдат останется меньше возможностей использовать пороки нашей системы."
 assimilate_pop_cost_modifier_inv_1:0 "Культурная администрация"
 assimilate_pop_cost_modifier_inv_1_desc:0 "Принятие нашей культуры — знак высокого статуса, право, даваемое только самым достойным иноземным гражданам."
 create_trade_route_inv:0 "Престижные товары"
 create_trade_route_inv_desc:0 "Наши торговцы долгие годы создавали флёр престижа вокруг товаров, отправляемых нами в другие страны, чтобы чужеземцы сильнее желали торговать с нами."
 global_building_slot_inv:0 "Городское планирование"
 global_building_slot_inv_desc:0 "Заранее планируя строительство городов, мы сможем извлечь максимум из любого ландшафта."
 monthly_governor_wage_inv:0 "Ограниченное управление"
 monthly_governor_wage_inv_desc:0 "Важно вовремя сменять губернаторов, так они не смогут накапливать силы и связи, необходимые для того, чтобы пойти против центральной власти."
 loyalty_gain_chance_modifier_inv:0 "Божественное руководство"
 loyalty_gain_chance_modifier_inv_desc:0 "Наш народ хорошо знает, что его ведут сами боги. Значит, именно боги должны помогать выбирать правителя: кто осмелится противостоять такому выбору?"
 monthly_general_loyalty_inv:0 "Большой триумф"
 monthly_general_loyalty_inv_desc:0 "Если наши полководцы будут знать, что в случае победы их ждёт триумф и шанс попасть в анналы нашей истории, они будут сражаться ещё лучше."
 control_range_modifier_inv:0 "Расширенная дипломатия"
